UEI,Name,Street Address,City,State,Zip Code,Website,SBIR Profile Link,duns,number_employees
FE9HTJ2TLGY5,NEUROENE THERAPEUTICS INC,7144 13TH PL NW,WASHINGTON,DC,20012-2358,http://www.neuroenetherapeutics.com/,https://www.sbir.gov/portfolio/816727,079882306,5
D6P3UNRMJU97,SANITARY GREEN INCORPORATED,2447 NE 4TH ST,BEND,OR,97701-3638,http://www.sanitarygreen.com,https://www.sbir.gov/portfolio/1641013,117135816,6
X854ZJDHWHJ5,VISIMO LLC,520 E MAIN STREET,CARNEGIE,PA,15106-2051,http://www.visimo.ai,https://www.sbir.gov/portfolio/1647075,016990771,24
X854ZJDHWHJ5,VISIMO LLC,520 E MAIN STREET,CARNEGIE,PA,15106-2051,http://www.visimo.ai,https://www.sbir.gov/portfolio/1647075,016990771,24
X854ZJDHWHJ5,VISIMO LLC,520 E MAIN STREET,CARNEGIE,PA,15106-2051,http://www.visimo.ai,https://www.sbir.gov/portfolio/1647075,016990771,24
Y3M9AQF9LKJ4,ACADIAN RESEARCH & DEVELOPMENT LLC,1482 COMMERCE DR,LARAMIE,WY,82070-7041,https://www.acadianrd.com,https://www.sbir.gov/portfolio/1648531,117322893,3
Y3M9AQF9LKJ4,ACADIAN RESEARCH & DEVELOPMENT LLC,1482 COMMERCE DR,LARAMIE,WY,82070-7041,https://www.acadianrd.com,https://www.sbir.gov/portfolio/1648531,117322893,3
ESP6ZKMSMQK8,Creekside Environmental Products LLC,1 SOUTHERN CSWY,STARKVILLE,MS,39759-8789,,https://www.sbir.gov/portfolio/1205715,080290127,3
ESP6ZKMSMQK8,Creekside Environmental Products LLC,1 SOUTHERN CSWY,STARKVILLE,MS,39759-8789,,https://www.sbir.gov/portfolio/1205715,080290127,3
ESP6ZKMSMQK8,Creekside Environmental Products LLC,1 SOUTHERN CSWY,STARKVILLE,MS,39759-8789,,https://www.sbir.gov/portfolio/1205715,080290127,3
ESP6ZKMSMQK8,Creekside Environmental Products LLC,1 SOUTHERN CSWY,STARKVILLE,MS,39759-8789,,https://www.sbir.gov/portfolio/1205715,080290127,3
E8DMQP3A2W74,"FOREVER ANALYTICAL SERVICES, INC.",1400 E. ANGELA BLVD.,SOUTH BEND,IN,46617-1364,,https://www.sbir.gov/portfolio/2243797,,2
PLRXAUJRGGT8,HOLOCHIP CORP,4030 SPENCER ST STE 102,TORRANCE,CA,90503-2457,https://www.holochip.com,https://www.sbir.gov/portfolio/182360,118922413,15
PLRXAUJRGGT8,HOLOCHIP CORP,4030 SPENCER ST STE 102,TORRANCE,CA,90503-2457,https://www.holochip.com,https://www.sbir.gov/portfolio/182360,118922413,15
PLRXAUJRGGT8,HOLOCHIP CORP,4030 SPENCER ST STE 102,TORRANCE,CA,90503-2457,https://www.holochip.com,https://www.sbir.gov/portfolio/182360,118922413,15
