Company Name,uei,award_title,agency,branch,phase,program,agency_tracking_number,contract,proposal_award_date,contract_end_date,solicitation_number,solicitation_year,topic_code,award_year,award_amount,award_link
"Nanocrine, Inc.",QH88DLKTLQM6,"SBIR Phase I: Rapid, pre-symptomatic detection of COVID-19 and unknown viruses using a novel biosensor chip, computer vision and machine learning.",NSF,,Phase I,SBIR,2033921,2033921,2020-08-01,2021-01-31,,2020,BM,2020,248706.0000,178114
"MELATECH, L.L.C.",UFHYM6EJN7L3,Melanin composites for radiation hardening and thermal management,NASA,,Phase I,SBIR,24S13031007,80NSSC24PB371,2024-07-23,2025-02-06,SBIR-2024-Phase 1,2024,S13,2024,150000.0000,212271
"MELATECH, L.L.C.",UFHYM6EJN7L3,Large-scale production of fungal melanin for novel radiation shielding/harvesting applications,DOD,ARMY,Phase II,STTR,A2-9003,W911SR-22-C-0017,2022-03-28,2024-03-27,19.B,2019,A19B-T010,2022,1099999.0000,195464
"MELATECH, L.L.C.",UFHYM6EJN7L3,Large-scale production of fungal melanin for novel radiation shielding/harvesting applications,DOD,ARMY,Phase I,STTR,A19B-010-0056,W911SR-20-C-0032,2020-06-08,2021-04-30,19.B,2019,A19B-T010,2020,166500.0000,185272
"MELATECH, L.L.C.",UFHYM6EJN7L3,Melanin composites for radiation hardening and thermal management,NASA,,Phase I,SBIR,24S13031007,80NSSC24PB371,2024-07-23,2025-02-06,SBIR-2024-Phase 1,2024,S13,2024,150000.0000,212271
"MELATECH, L.L.C.",UFHYM6EJN7L3,Large-scale production of fungal melanin for novel radiation shielding/harvesting applications,DOD,ARMY,Phase II,STTR,A2-9003,W911SR-22-C-0017,2022-03-28,2024-03-27,19.B,2019,A19B-T010,2022,1099999.0000,195464
"MELATECH, L.L.C.",UFHYM6EJN7L3,Large-scale production of fungal melanin for novel radiation shielding/harvesting applications,DOD,ARMY,Phase I,STTR,A19B-010-0056,W911SR-20-C-0032,2020-06-08,2021-04-30,19.B,2019,A19B-T010,2020,166500.0000,185272
AXNANO LLC,NMDVSFDSVCB4,Reclaiming Beneficial Biosolids : A PFAS Removal and Destruction Approach,EPA,,Phase I,SBIR,B251B-0002,68HERC25C0011,2024-12-16,2025-06-15,68HERC24R0185,2025,1B,2025,100000.0000,214929
AXNANO LLC,NMDVSFDSVCB4,Mobile System for the Responsible Treatment ofĀArmy Waste Streams,DOD,ARMY,Phase II,SBIR,A2D-1359,W51701-24-C-0168,2024-07-18,2026-01-05,23.4,2023,A234-P015,2024,1899717.0700,209640
AXNANO LLC,NMDVSFDSVCB4,A Mobile Water Purification System for Improving Army's Water Stewardship,DOD,ARMY,Phase I,SBIR,A234-P014-1063,W51701-23-C-0236,2023-09-07,2024-03-15,23.4,2023,A234-P014,2023,249886.2200,207149
AXNANO LLC,NMDVSFDSVCB4,"Sustainable, Non-Incineration-based Destruction of Air Force Hazardous Waste Stockpiles",DOD,USAF,Phase II,SBIR,FX224-OCSO1-0896,FA8649-23-P-1125,2023-07-21,2025-04-21,X22.4,2022,X224-OCSO1,2023,1236627.0000,205843
AXNANO LLC,NMDVSFDSVCB4,mSCWO For On-Site Complete Destruction Of Air Force Hazardous Waste Stockpiles,DOD,USAF,Phase I,SBIR,FX224-OCSO1-0896,FA8649-23-P-0100,2022-11-04,2023-02-04,X22.4,2022,X224-OCSO1,2023,74943.0000,204781
AXNANO LLC,NMDVSFDSVCB4,Mobile PFAS Effluent Treatment System (PETS) for management of Air Force wastes,DOD,USAF,Phase I,SBIR,FX224-OCSO1-1101,FA8649-23-P-0219,2022-11-03,2023-02-04,X22.4,2022,X224-OCSO1,2023,74983.0000,204874
AXNANO LLC,NMDVSFDSVCB4,Reactive Bimetallic-Carbon Media For Destruction Of PFAS-Containing AFFF Wastes,DOD,USAF,Phase II,SBIR,FX203-CSO1-0925,FA864922P0013,2021-10-18,2023-01-18,X20.3,2020,AF203-CSO1,2022,749368.0000,194959
AXNANO LLC,NMDVSFDSVCB4,Development of a Smart PFAS-Collector for High-Throughput PFAS Detection,HHS,NIH,Phase I,SBIR,R43ES033585,1R43ES033585-01,2021-09-01,2022-08-31,PA20-260,2020,NIEHS,2021,168087.0000,193974
AXNANO LLC,NMDVSFDSVCB4,Reactive Bimetallic-Carbon Media for Destruction of PFAS-containing Aqueous Fire Fighting Foam Stockpiles,DOD,USAF,Phase I,SBIR,FX203-CSO1-0925,FA8649-21-P-0368,2021-02-05,2021-05-03,X20.3,2020,AF203-CSO1,2021,49999.2200,191275
AXNANO LLC,NMDVSFDSVCB4,Hydraulic Fracturing of Controlled Release Oxidants for Remediation of Low Permeability Zones,HHS,NIH,Phase II,SBIR,R44ES031461,4R44ES031461-02,2020-09-09,2022-08-31,PA18-574,2018,143,2020,940181.0000,183710
AXNANO LLC,NMDVSFDSVCB4,Hydraulic Fracturing of Controlled Release Oxidants for Remediation of Low Permeability Zones,HHS,NIH,Phase I,SBIR,R44ES031461,1R44ES031461-01,2019-09-17,2020-08-31,PA18-574,2018,143,2019,124641.0000,176675
AXNANO LLC,NMDVSFDSVCB4,SBIR Phase II: Effective Treatment of Groundwater Pollution Using a System Utilizing Controlled Release Polymer Materials,NSF,,Phase II,SBIR,1758621,1758621,2018-03-01,2020-02-29,,2016,CT,2018,728849.0000,167587
AXNANO LLC,NMDVSFDSVCB4,Bimetallic Zero Valent Iron Composites for In Situ Remediation,DOC,NIST,Phase II,SBIR,070-05-01 (PII),70NANB17H231,2017-08-31,2019-08-30,2017-NIST-SBIR-02,2017,N/A,2017,299994.0000,162560
AXNANO LLC,NMDVSFDSVCB4,Controlled Release Polymer Structures for In Situ Chemical Oxidation of Contaminated Groundwater,HHS,NIH,Phase I,STTR,R41ES026916,1R41ES026916-01,2016-09-30,2018-03-29,PA16-414,2016,NIEHS,2016,274617.0000,158112
AXNANO LLC,NMDVSFDSVCB4,"Bimetallic Zero Valent Iron-Carbon Composites for In Situ Remediation: Improving Particle Lifetime, Reactivity and Transport",DOC,NIST,Phase I,SBIR,070.05.01 (2016),70NANB16H185,2016-08-01,2017-01-31,2016-NIST-SBIR-01,2016,9.05.01,2016,99275.0000,157218
AXNANO LLC,NMDVSFDSVCB4,STTR Phase I: Effective Treatment of Groundwater Pollution Using a System Utilizing Controlled Release Polymer Materials,NSF,,Phase I,STTR,1622866,1622866,2016-07-01,2017-06-30,,2015,CT,2016,224934.0000,157831
AXNANO LLC,NMDVSFDSVCB4,Lightweight Structures Utilizing CNFs,NASA,,Phase I,STTR,140056,NNX14CL87P,2014-06-20,2014-12-19,,2014,T10.01,2014,124905.0000,147461
