Company Name,uei,award_title,agency,branch,phase,program,agency_tracking_number,contract,proposal_award_date,contract_end_date,solicitation_number,solicitation_year,topic_code,award_year,award_amount,award_link
TELOHEALTHDX LLC,ZWK6WMUV43G5,Single telomere length analysis using DNA array and FISH: a low-cost and accurate test for telomere-associated diseases,HHS,NIH,Phase I,STTR,R41AG085701,1R41AG085701-01,2024-09-25,2025-08-31,PA22-178,2022,R,2024,448961.0000,212837
Sorbenta Inc,JBJ7EF1MD9P1,Novel sorbents for removal of PFAS from water,HHS,NIH,Phase I,STTR,R41ES036472,1R41ES036472-01,2024-07-13,2025-06-30,PA23-232,2023,113,2024,295923.0000,212935
Sorbenta Inc,JBJ7EF1MD9P1,Novel sorbents for removal of PFAS from water,HHS,NIH,Phase I,STTR,R41ES036472,1R41ES036472-01,2024-07-13,2025-06-30,PA23-232,2023,113,2024,295923.0000,212935
Sorbenta Inc,JBJ7EF1MD9P1,Novel sorbents for removal of PFAS from water,HHS,NIH,Phase I,STTR,R41ES036472,1R41ES036472-01,2024-07-13,2025-06-30,PA23-232,2023,113,2024,295923.0000,212935
"Predictive, LLC",LDHKC12HSJ86,Development of a web-based platform implementing novel Predictor of Toxicity for Medical Devices (PredTox/MD),HHS,NIH,Phase II,SBIR,R44ES032371,2R44ES032371-02A1,2024-01-25,2025-12-31,PA22-176,2022,NIEHS,2024,898248.0000,213719
"Predictive, LLC",LDHKC12HSJ86,Artificial Intelligence Toolkit for Predicting Mixture Toxicity,HHS,NIH,Phase I,STTR,R41ES033857,1R41ES033857-01,2021-12-20,2022-11-30,ES21-003,2021,R,2022,255538.0000,197696
"Predictive, LLC",LDHKC12HSJ86,STopTox: A comprehensive in silico platform for predicting systemic and topical toxicity,HHS,NIH,Phase I,STTR,R41ES033589,1R41ES033589-01,2021-08-13,2022-07-31,PA20-265,2020,NIEHS,2021,255537.0000,193783
"Predictive, LLC",LDHKC12HSJ86,Development of a web-based platform implementing novel Predictor of Skin Sensitization for Medical Devices (PreSS/MD),HHS,NIH,Phase I,SBIR,R43ES032371,1R43ES032371-01,2020-09-09,2021-08-31,PA19-272,2019,R,2020,167910.0000,183260
"Predictive, LLC",LDHKC12HSJ86,SBIR 136 - PREDICTIVE: Knowledge Graphs for Infectious Diseases,HHS,NIH,Phase I,SBIR,75N93024C00038-0-9999-0,75N93024C00038,,,PHS-2024-1,2024,136,2024,298262.0000,214725
"Predictive, LLC",LDHKC12HSJ86,Development of a web-based platform implementing novel Predictor of Toxicity for Medical Devices (PredTox/MD),HHS,NIH,Phase II,SBIR,R44ES032371,2R44ES032371-02A1,2024-01-25,2025-12-31,PA22-176,2022,NIEHS,2024,898248.0000,213719
"Predictive, LLC",LDHKC12HSJ86,Artificial Intelligence Toolkit for Predicting Mixture Toxicity,HHS,NIH,Phase I,STTR,R41ES033857,1R41ES033857-01,2021-12-20,2022-11-30,ES21-003,2021,R,2022,255538.0000,197696
"Predictive, LLC",LDHKC12HSJ86,STopTox: A comprehensive in silico platform for predicting systemic and topical toxicity,HHS,NIH,Phase I,STTR,R41ES033589,1R41ES033589-01,2021-08-13,2022-07-31,PA20-265,2020,NIEHS,2021,255537.0000,193783
"Predictive, LLC",LDHKC12HSJ86,Development of a web-based platform implementing novel Predictor of Skin Sensitization for Medical Devices (PreSS/MD),HHS,NIH,Phase I,SBIR,R43ES032371,1R43ES032371-01,2020-09-09,2021-08-31,PA19-272,2019,R,2020,167910.0000,183260
"Predictive, LLC",LDHKC12HSJ86,SBIR 136 - PREDICTIVE: Knowledge Graphs for Infectious Diseases,HHS,NIH,Phase I,SBIR,75N93024C00038-0-9999-0,75N93024C00038,,,PHS-2024-1,2024,136,2024,298262.0000,214725
AXNANO LLC,NMDVSFDSVCB4,Reclaiming Beneficial Biosolids : A PFAS Removal and Destruction Approach,EPA,,Phase I,SBIR,B251B-0002,68HERC25C0011,2024-12-16,2025-06-15,68HERC24R0185,2025,1B,2025,100000.0000,214929
AXNANO LLC,NMDVSFDSVCB4,Mobile System for the Responsible Treatment ofĀArmy Waste Streams,DOD,ARMY,Phase II,SBIR,A2D-1359,W51701-24-C-0168,2024-07-18,2026-01-05,23.4,2023,A234-P015,2024,1899717.0700,209640
