Company Name,uei,award_title,agency,branch,phase,program,agency_tracking_number,contract,proposal_award_date,contract_end_date,solicitation_number,solicitation_year,topic_code,award_year,award_amount,award_link
NEUROENE THERAPEUTICS INC,FE9HTJ2TLGY5,A Vitamin K analog countermeasure for organophosphate poisoning,HHS,NIH,Phase I,SBIR,R43AI176434,1R43AI176434-01,2023-05-18,2025-04-30,PA21-259,2021.0,NIAID,2023,598010.0000,202922
NEUROENE THERAPEUTICS INC,FE9HTJ2TLGY5,Administrative Supplement to Promote Diversity in Research and Development Small Businesses,HHS,NIH,Phase II,SBIR,R44NS097047,2R44NS097047-02,2018-08-15,2020-07-31,PA18-837,2017.0,NINDS,2018,1561448.0000,171396
NEUROENE THERAPEUTICS INC,FE9HTJ2TLGY5,Novel mechanism for the treatment of epilepsy: New Vitamin K analogs target energetics and have low toxicity due to excellent specificity and low dose requirements compared to current therapies,HHS,NIH,Phase I,STTR,R41NS097047,1R41NS097047-01,2016-07-01,2017-06-30,PA15-270,2016.0,106,2016,224804.0000,157333
SANITARY GREEN INCORPORATED,D6P3UNRMJU97,Ecological Treatment of Blackwater for Onsite Non-potable Reuse,EPA,,Phase II,SBIR,B24P2-1A02,68HERC24C0001,2023-10-19,2025-10-18,68HERC23R0188,2024.0,1A,2024,399618.0000,208549
SANITARY GREEN INCORPORATED,D6P3UNRMJU97,Ecological Treatment of Blackwater for Onsite Non-potable Reuse Phase I Proposal,EPA,,Phase I,SBIR,B231A-0011,68HERC23C0010,2022-12-01,2023-05-31,68HERC22R0180,2023.0,1A,2023,99990.0000,203794
SANITARY GREEN INCORPORATED,D6P3UNRMJU97,SBIR Phase II:Sustainable Decentralized Greywater Recycling System,NSF,,Phase II,SBIR,2136477,2136477,2022-03-01,2024-02-29,NSF 21-565,2021.0,ET,2022,991482.0000,197457
SANITARY GREEN INCORPORATED,D6P3UNRMJU97,SBIR Phase I: Sustainable Decentralized Greywater Recycling System,NSF,,Phase I,SBIR,2015153,2015153,2020-06-01,2021-05-31,,2019.0,ET,2020,224999.0000,177190
VISIMO LLC,X854ZJDHWHJ5,FloodWise: Autonomous Geotagging for Disaster Response,DOC,NOAA,Phase I,SBIR,3217602,NA24OARX021G0015,2024-08-01,2025-01-31,NOAA-OAR-TPO-2024-2008184,2024.0,9.4,2024,174747.0000,207757
VISIMO LLC,X854ZJDHWHJ5, High Temporal Resolution Forecasting Framework Supporting Carbon Capture,DOE,,Phase I,STTR,281592,DE-SC0025082,2024-07-22,2025-04-21,DE-FOA-0003202,2024.0,C58-23c,2024,256486.0000,214679
VISIMO LLC,X854ZJDHWHJ5,AI-Enhanced Maintenance Form Engine (AIM-FE),DOD,NAVY,Phase I,SBIR,N241-055-1447,N68335-24-C-0458,2024-07-15,2025-01-15,24.1,2024.0,N241-055,2024,139927.0000,211469
VISIMO LLC,X854ZJDHWHJ5,Autonomous Agent Cognitive Architecture for Spacecraft Operations,NASA,,Phase II,SBIR,231322,80NSSC24CA107,2024-06-25,2026-06-24,SBIR_23_P2,2023.0,H6,2024,899989.0000,212075
VISIMO LLC,X854ZJDHWHJ5,Visualization Toolkit for Nanoscale Imaging Data ,DOE,,Phase I,STTR,278356,DE-SC0024747,2024-02-12,2024-11-11,DE-FOA-0003110,2024.0,C57-09a,2024,206500.0000,214451
VISIMO LLC,X854ZJDHWHJ5,Ecological Risk Mitigation Tool for Forestry Operations,USDA,NIFA,Phase I,STTR,2024-00423,2024-00423,2024-01-29,2025-06-30,USDA-NIFA-SBIR-009962,2024.0,8.1,2024,181500.0000,208543
VISIMO LLC,X854ZJDHWHJ5,"Topic 4A - VISIMO, LLC: Mapping Indoor Environments Using Real-time Artificial Intelligence and Localization (MURAL)",EPA,,Phase I,SBIR,B244A-0021,68HERC24C0019,2023-12-01,2024-05-31,68HERC23R0249,2024.0,4A,2024,99799.0000,208403
VISIMO LLC,X854ZJDHWHJ5,Machine Learning Toolkit for Academic and Grey Literature Screening,EPA,,Phase II,SBIR,B24P2-6A01,68HERC24C0008,2023-10-19,2025-10-18,68HERC23R0188,2024.0,6A,2024,397332.0000,208555
VISIMO LLC,X854ZJDHWHJ5,Risk Management Tool to Increase Farm Safety,USDA,,Phase II,SBIR,2023-03924,2023-03924,2023-08-16,2025-08-31,USDA-NIFA-SBIR-009642,2023.0,8.12,2023,644705.0000,202284
VISIMO LLC,X854ZJDHWHJ5,Autonomous Agent Cognitive Architecture for Spacecraft Operations,NASA,,Phase I,SBIR,231322,80NSSC23PB622,2023-07-26,2024-02-02,SBIR_23_P1,2023.0,H6,2023,166248.0000,204076
VISIMO LLC,X854ZJDHWHJ5,AI/ML Data Management Software System for NSRCs,DOE,,Phase II,STTR,0000271273,DE-SC0022413,2023-04-03,2025-04-02,,2023.0,C53-15a,2023,1146472.0000,204342
VISIMO LLC,X854ZJDHWHJ5,Artificial Intelligence Legal Assistant (AILA),DOD,USAF,Phase II,SBIR,F2D-8033,FA8649-23-P-0469,2023-02-03,2024-05-10,X23.4,2023.0,AFX234-DCSO2,2023,990288.0000,204474
VISIMO LLC,X854ZJDHWHJ5,Machine Learning Toolkit for Grey Literature Screening,EPA,,Phase I,SBIR,B236A-0009,68HERC23C0033,2022-12-01,2023-05-31,68HERC22R0180,2023.0,6A,2023,99803.5000,203817
VISIMO LLC,X854ZJDHWHJ5,Verification and Validation Software for Autonomous UAS Certification,NASA,,Phase I,SBIR,221647,80NSSC22PB242,2022-07-21,2023-01-25,SBIR_22_P1,2022.0,A2,2022,166319.0000,196338
VISIMO LLC,X854ZJDHWHJ5,Risk Management Tool to Increase Farm Safety,USDA,,Phase I,SBIR,2022-00742,2022-00742,2022-04-18,2023-02-28,USDA-NIFA-SBIR-008541,2022.0,8.12,2022,123680.0000,196043
VISIMO LLC,X854ZJDHWHJ5,Project Aletheia: Detecting Adversarial Manipulation of Image Data,DOD,USAF,Phase II,STTR,FX21A-TCSO1-0185,FA8649-22-P-0708,2022-03-10,2023-06-12,X21.A,2021.0,AF21A-TCSO1,2022,747531.0000,198669
VISIMO LLC,X854ZJDHWHJ5,AI/ML Data Management Software System for NSRCs,DOE,,Phase I,STTR,0000263264,DE-SC0022413,2022-02-14,2023-02-13,DE-FOA-0002554,2022.0,C53-15a,2022,200000.0000,197070
VISIMO LLC,X854ZJDHWHJ5,Artificial Intelligence (AI) to Support Judge Advocates When Advising Use-of-Force Decisions,DOD,USAF,Phase I,STTR,FX21B-TCSO1-0206,FA864922P0077,2021-11-02,2022-02-02,X21.B,2021.0,AF21B-TCSO1,2022,49872.0000,194897
VISIMO LLC,X854ZJDHWHJ5,CGAN ISALD: Conditional Generative Adversarial Network for Infinite Synthetic Aerial Landscape Data,DOD,USAF,Phase II,STTR,FX20C-TCSO1-0395,FA8649-21-P-1505,2021-08-24,2022-11-24,X20.C,2020.0,AF20C-TCSO1,2021,745446.0000,190982
VISIMO LLC,X854ZJDHWHJ5,Project Aletheia: A Gamified Truth Disclosure Platform,DOD,USAF,Phase I,STTR,FX21A-TCSO1-0185,FA8649-21-P-1396,2021-04-09,2021-07-09,X21.A,2021.0,AF21A-TCSO1,2021,49821.0000,191991
VISIMO LLC,X854ZJDHWHJ5,Generative Adversarial Network (GAN) for Synthetic Data Generation,DOD,USAF,Phase I,STTR,FX20C-TCSO1-0395,FA8649-21-P-0650,2021-02-05,2021-05-08,X20.C,2020.0,AF20C-TCSO1,2021,49804.0000,191594
VISIMO LLC,X854ZJDHWHJ5,Artificial Intelligence (AI) Algorithms for Sense and Avoid Neural Network Architectures for Orbs and UAVs,DOD,USAF,Phase I,STTR,FX20D-TCSO1-0426,FA8649-21-P-0231,2020-11-23,2021-05-24,X20.D,2020.0,AFX20D-TCSO1,2021,137458.0000,187284
VISIMO LLC,X854ZJDHWHJ5,FloodWise: Autonomous Geotagging for Disaster Response,DOC,NOAA,Phase I,SBIR,3217602,NA24OARX021G0015,2024-08-01,2025-01-31,NOAA-OAR-TPO-2024-2008184,2024.0,9.4,2024,174747.0000,207757
VISIMO LLC,X854ZJDHWHJ5, High Temporal Resolution Forecasting Framework Supporting Carbon Capture,DOE,,Phase I,STTR,281592,DE-SC0025082,2024-07-22,2025-04-21,DE-FOA-0003202,2024.0,C58-23c,2024,256486.0000,214679
VISIMO LLC,X854ZJDHWHJ5,AI-Enhanced Maintenance Form Engine (AIM-FE),DOD,NAVY,Phase I,SBIR,N241-055-1447,N68335-24-C-0458,2024-07-15,2025-01-15,24.1,2024.0,N241-055,2024,139927.0000,211469
VISIMO LLC,X854ZJDHWHJ5,Autonomous Agent Cognitive Architecture for Spacecraft Operations,NASA,,Phase II,SBIR,231322,80NSSC24CA107,2024-06-25,2026-06-24,SBIR_23_P2,2023.0,H6,2024,899989.0000,212075
VISIMO LLC,X854ZJDHWHJ5,Visualization Toolkit for Nanoscale Imaging Data ,DOE,,Phase I,STTR,278356,DE-SC0024747,2024-02-12,2024-11-11,DE-FOA-0003110,2024.0,C57-09a,2024,206500.0000,214451
VISIMO LLC,X854ZJDHWHJ5,Ecological Risk Mitigation Tool for Forestry Operations,USDA,NIFA,Phase I,STTR,2024-00423,2024-00423,2024-01-29,2025-06-30,USDA-NIFA-SBIR-009962,2024.0,8.1,2024,181500.0000,208543
VISIMO LLC,X854ZJDHWHJ5,"Topic 4A - VISIMO, LLC: Mapping Indoor Environments Using Real-time Artificial Intelligence and Localization (MURAL)",EPA,,Phase I,SBIR,B244A-0021,68HERC24C0019,2023-12-01,2024-05-31,68HERC23R0249,2024.0,4A,2024,99799.0000,208403
VISIMO LLC,X854ZJDHWHJ5,Machine Learning Toolkit for Academic and Grey Literature Screening,EPA,,Phase II,SBIR,B24P2-6A01,68HERC24C0008,2023-10-19,2025-10-18,68HERC23R0188,2024.0,6A,2024,397332.0000,208555
VISIMO LLC,X854ZJDHWHJ5,Risk Management Tool to Increase Farm Safety,USDA,,Phase II,SBIR,2023-03924,2023-03924,2023-08-16,2025-08-31,USDA-NIFA-SBIR-009642,2023.0,8.12,2023,644705.0000,202284
VISIMO LLC,X854ZJDHWHJ5,Autonomous Agent Cognitive Architecture for Spacecraft Operations,NASA,,Phase I,SBIR,231322,80NSSC23PB622,2023-07-26,2024-02-02,SBIR_23_P1,2023.0,H6,2023,166248.0000,204076
VISIMO LLC,X854ZJDHWHJ5,AI/ML Data Management Software System for NSRCs,DOE,,Phase II,STTR,0000271273,DE-SC0022413,2023-04-03,2025-04-02,,2023.0,C53-15a,2023,1146472.0000,204342
VISIMO LLC,X854ZJDHWHJ5,Artificial Intelligence Legal Assistant (AILA),DOD,USAF,Phase II,SBIR,F2D-8033,FA8649-23-P-0469,2023-02-03,2024-05-10,X23.4,2023.0,AFX234-DCSO2,2023,990288.0000,204474
VISIMO LLC,X854ZJDHWHJ5,Machine Learning Toolkit for Grey Literature Screening,EPA,,Phase I,SBIR,B236A-0009,68HERC23C0033,2022-12-01,2023-05-31,68HERC22R0180,2023.0,6A,2023,99803.5000,203817
VISIMO LLC,X854ZJDHWHJ5,Verification and Validation Software for Autonomous UAS Certification,NASA,,Phase I,SBIR,221647,80NSSC22PB242,2022-07-21,2023-01-25,SBIR_22_P1,2022.0,A2,2022,166319.0000,196338
VISIMO LLC,X854ZJDHWHJ5,Risk Management Tool to Increase Farm Safety,USDA,,Phase I,SBIR,2022-00742,2022-00742,2022-04-18,2023-02-28,USDA-NIFA-SBIR-008541,2022.0,8.12,2022,123680.0000,196043
VISIMO LLC,X854ZJDHWHJ5,Project Aletheia: Detecting Adversarial Manipulation of Image Data,DOD,USAF,Phase II,STTR,FX21A-TCSO1-0185,FA8649-22-P-0708,2022-03-10,2023-06-12,X21.A,2021.0,AF21A-TCSO1,2022,747531.0000,198669
VISIMO LLC,X854ZJDHWHJ5,AI/ML Data Management Software System for NSRCs,DOE,,Phase I,STTR,0000263264,DE-SC0022413,2022-02-14,2023-02-13,DE-FOA-0002554,2022.0,C53-15a,2022,200000.0000,197070
VISIMO LLC,X854ZJDHWHJ5,Artificial Intelligence (AI) to Support Judge Advocates When Advising Use-of-Force Decisions,DOD,USAF,Phase I,STTR,FX21B-TCSO1-0206,FA864922P0077,2021-11-02,2022-02-02,X21.B,2021.0,AF21B-TCSO1,2022,49872.0000,194897
VISIMO LLC,X854ZJDHWHJ5,CGAN ISALD: Conditional Generative Adversarial Network for Infinite Synthetic Aerial Landscape Data,DOD,USAF,Phase II,STTR,FX20C-TCSO1-0395,FA8649-21-P-1505,2021-08-24,2022-11-24,X20.C,2020.0,AF20C-TCSO1,2021,745446.0000,190982
VISIMO LLC,X854ZJDHWHJ5,Project Aletheia: A Gamified Truth Disclosure Platform,DOD,USAF,Phase I,STTR,FX21A-TCSO1-0185,FA8649-21-P-1396,2021-04-09,2021-07-09,X21.A,2021.0,AF21A-TCSO1,2021,49821.0000,191991
VISIMO LLC,X854ZJDHWHJ5,Generative Adversarial Network (GAN) for Synthetic Data Generation,DOD,USAF,Phase I,STTR,FX20C-TCSO1-0395,FA8649-21-P-0650,2021-02-05,2021-05-08,X20.C,2020.0,AF20C-TCSO1,2021,49804.0000,191594
VISIMO LLC,X854ZJDHWHJ5,Artificial Intelligence (AI) Algorithms for Sense and Avoid Neural Network Architectures for Orbs and UAVs,DOD,USAF,Phase I,STTR,FX20D-TCSO1-0426,FA8649-21-P-0231,2020-11-23,2021-05-24,X20.D,2020.0,AFX20D-TCSO1,2021,137458.0000,187284
VISIMO LLC,X854ZJDHWHJ5,FloodWise: Autonomous Geotagging for Disaster Response,DOC,NOAA,Phase I,SBIR,3217602,NA24OARX021G0015,2024-08-01,2025-01-31,NOAA-OAR-TPO-2024-2008184,2024.0,9.4,2024,174747.0000,207757
VISIMO LLC,X854ZJDHWHJ5, High Temporal Resolution Forecasting Framework Supporting Carbon Capture,DOE,,Phase I,STTR,281592,DE-SC0025082,2024-07-22,2025-04-21,DE-FOA-0003202,2024.0,C58-23c,2024,256486.0000,214679
VISIMO LLC,X854ZJDHWHJ5,AI-Enhanced Maintenance Form Engine (AIM-FE),DOD,NAVY,Phase I,SBIR,N241-055-1447,N68335-24-C-0458,2024-07-15,2025-01-15,24.1,2024.0,N241-055,2024,139927.0000,211469
VISIMO LLC,X854ZJDHWHJ5,Autonomous Agent Cognitive Architecture for Spacecraft Operations,NASA,,Phase II,SBIR,231322,80NSSC24CA107,2024-06-25,2026-06-24,SBIR_23_P2,2023.0,H6,2024,899989.0000,212075
VISIMO LLC,X854ZJDHWHJ5,Visualization Toolkit for Nanoscale Imaging Data ,DOE,,Phase I,STTR,278356,DE-SC0024747,2024-02-12,2024-11-11,DE-FOA-0003110,2024.0,C57-09a,2024,206500.0000,214451
VISIMO LLC,X854ZJDHWHJ5,Ecological Risk Mitigation Tool for Forestry Operations,USDA,NIFA,Phase I,STTR,2024-00423,2024-00423,2024-01-29,2025-06-30,USDA-NIFA-SBIR-009962,2024.0,8.1,2024,181500.0000,208543
VISIMO LLC,X854ZJDHWHJ5,"Topic 4A - VISIMO, LLC: Mapping Indoor Environments Using Real-time Artificial Intelligence and Localization (MURAL)",EPA,,Phase I,SBIR,B244A-0021,68HERC24C0019,2023-12-01,2024-05-31,68HERC23R0249,2024.0,4A,2024,99799.0000,208403
VISIMO LLC,X854ZJDHWHJ5,Machine Learning Toolkit for Academic and Grey Literature Screening,EPA,,Phase II,SBIR,B24P2-6A01,68HERC24C0008,2023-10-19,2025-10-18,68HERC23R0188,2024.0,6A,2024,397332.0000,208555
VISIMO LLC,X854ZJDHWHJ5,Risk Management Tool to Increase Farm Safety,USDA,,Phase II,SBIR,2023-03924,2023-03924,2023-08-16,2025-08-31,USDA-NIFA-SBIR-009642,2023.0,8.12,2023,644705.0000,202284
