keyword,legal_name,uei,legacy_duns,cage,full_address,congressional_district
PJ9WKMRVDDX6,,PJ9WKMRVDDX6,116913533.0,,"5640 FISHERS LANE SUITE D, ROCKVILLE, MD UNITED STATES 20852-1737",MD-08
D2DDKPAALJR3,,D2DDKPAALJR3,80160327.0,,"704 QUINCE ORCHARD RD, GAITHERSBURG, MD UNITED STATES 20878-1751",MD-06
D2DDKPAALJR3,"MIRECULE, INC.",D2DDKPAALJR3,80160327.0,,"704 QUINCE ORCHARD RD, GAITHERSBURG, MD UNITED STATES 20878-1751",MD-06
D2DDKPAALJR3,"MIRECULE, INC.",D2DDKPAALJR3,80160327.0,,"704 QUINCE ORCHARD RD, GAITHERSBURG, MD UNITED STATES 20878-1751",MD-06
JJTZLGTS4W36,"ION STORAGE SYSTEMS, INC.",JJTZLGTS4W36,117020535.0,,"12500 BALTIMORE AVE STE D, BELTSVILLE, MD UNITED STATES 20705-6353",MD-04
JJTZLGTS4W36,"ION STORAGE SYSTEMS, INC.",JJTZLGTS4W36,117020535.0,,"12500 BALTIMORE AVE STE D, BELTSVILLE, MD UNITED STATES 20705-6353",MD-04
JJTZLGTS4W36,"ION STORAGE SYSTEMS, INC.",JJTZLGTS4W36,117020535.0,,"12500 BALTIMORE AVE STE D, BELTSVILLE, MD UNITED STATES 20705-6353",MD-04
SLGDVHJS1Y85,FZATA INC,SLGDVHJS1Y85,80062872.0,,"1450 S ROLLING RD, HALETHORPE, MD UNITED STATES 21227-3863",MD-07
SLGDVHJS1Y85,FZATA INC,SLGDVHJS1Y85,80062872.0,,"1450 S ROLLING RD, HALETHORPE, MD UNITED STATES 21227-3863",MD-07
SLGDVHJS1Y85,FZATA INC,SLGDVHJS1Y85,80062872.0,,"1450 S ROLLING RD, HALETHORPE, MD UNITED STATES 21227-3863",MD-07
KW2NMJ1EGY69,"OPAL HTM, INC.",KW2NMJ1EGY69,80952887.0,,"1623 W FULTON ST, CHICAGO, IL UNITED STATES 60612-2507",IL-07
GU8RZGZXU5K7,"REDSHRED, LLC",GU8RZGZXU5K7,79393231.0,,"5520 RESEARCH PARK DR STE 100, CATONSVILLE, MD UNITED STATES 21228-4851",MD-07
