keyword,legal_name,uei,legacy_duns,cage,full_address,congressional_district
MBF8QJZTKL83,"HEALTH CARE SERVICES, CALIFORNIA DEPARTMENT OF",JE73CDQUAPA7,796528263,,"1501 CAPITOL AVE STE 71-2014, SACRAMENTO, CA UNITED STATES 95814-5005",CA-07
MBF8QJZTKL83,NYS DEPARTMENT OF HEALTH,F863WQVMZSK7,806781340,,"CORNING TOWER ROOM 2772, ALBANY, NY UNITED STATES 12237-0001",NY-20
MBF8QJZTKL83,HEALTH & HUMAN SVC COMMN TX,G6JLG3FANUA9,806781373,,"4601 W GUADALUPE ST, AUSTIN, TX UNITED STATES 78751-3146",TX-37
MBF8QJZTKL83,PA DEPARTMENT OF HUMAN SERVICES,FYVAZVJGDFA4,796567790,,"625 FORSTER ST, HARRISBURG, PA UNITED STATES 17120-0001",PA-10
MBF8QJZTKL83,STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,DKT3LLBWFVL3,809785363,,"101 BLAIR DR, RALEIGH, NC UNITED STATES 27603-2040",NC-02
MBF8QJZTKL83,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,C2AQVDYYUAS7,113704139,,"235 S GRAND AVE, LANSING, MI UNITED STATES 48933-1805",MI-07
MBF8QJZTKL83,OHIO DEPARTMENT OF MEDICAID,HFRCKLH34V17,078802679,,"50 W TOWN ST STE 400, COLUMBUS, OH UNITED STATES 43215-4197",OH-15
MBF8QJZTKL83,FLORIDA AGENCY FOR HEALTH CARE ADMINISTRATION,ULZMDBF4YKY7,135837198,,"2727 MAHAN DR STOP 3, TALLAHASSEE, FL UNITED STATES 32308-5407",FL-02
MBF8QJZTKL83,ILLINOIS DEPARTMENT OF HEALTHCARE & FAMILY SERVICES,UF4TC1RLR6K7,806715629,,"201 S GRAND AVE E, SPRINGFIELD, IL UNITED STATES 62763-1000",IL-13
MBF8QJZTKL83,,XMUZGJN98231,785030714,,"3237 AIRPORT RD, LA CROSSE, WI UNITED STATES 54603-1256",WI-03
MBF8QJZTKL83,UNITEDHEALTH GROUP INCORPORATED,GVW2YMAK1AC1,112871561,,"9900 BREN ROAD EAST 9900 BREN ROAD EAST, MINNETONKA, MN UNITED STATES 55343-9664",MN-03
MBF8QJZTKL83,,MLGMLZ76EMC3,806418257,,"222 S WARREN ST, TRENTON, NJ UNITED STATES 08608-2306",NJ-12
MBF8QJZTKL83,LOCKHEED MARTIN CORP,ZFN2JJXBLZT3,834951691,,"6801 ROCKLEDGE DR, BETHESDA, MD UNITED STATES 20817-1803",MD-08
MBF8QJZTKL83,Name not provided,U2H7U6AVDAM8,071549000,,,
MBF8QJZTKL83,DEPARTMENT OF SOCIAL SERVICES CALIFORNIA,LDJ1MM9L56K7,613673185,,"744 P ST, SACRAMENTO, CA UNITED STATES 95814-6400",CA-07
MBF8QJZTKL83,HEALTH SERVICES KENTUCKY CABINET FOR,LECJQDCLHVE5,927049767,,"275 E MAIN ST, FRANKFORT, KY UNITED STATES 40601-2321",KY-01
