internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
56318023,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2020-09-01,2021-04-30,99936.0,Department of Agriculture,National Institute of Food and Agriculture,,PROJECT GRANT (B),Department of Agriculture,National Institute of Food and Agriculture,95,department-of-agriculture,ASST_NON_20203361032479_12H3
56602248,IM TECHNOLOGIES LLC,LM98CNVAUTG5,4477dcb3-4cb3-b9ab-092c-f4864ecbbdf5-C,2022-04-01,2023-03-31,275999.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_2126763_4900
56602248,IM TECHNOLOGIES LLC,LM98CNVAUTG5,4477dcb3-4cb3-b9ab-092c-f4864ecbbdf5-C,2022-04-01,2023-03-31,275999.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_2126763_4900
91335774,TELOHEALTHDX LLC,ZWK6WMUV43G5,487733fc-c1cc-6704-2e11-cc6c35a149f5-R,2024-09-25,2025-08-31,448961.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R41AG085701_7529
91337273,SORBENTA INC,JBJ7EF1MD9P1,7ea0b0d3-8c3f-fc4f-0170-65795b4ce9e6-R,2024-07-13,2025-06-30,295923.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R41ES036472_7529
91337273,SORBENTA INC,JBJ7EF1MD9P1,7ea0b0d3-8c3f-fc4f-0170-65795b4ce9e6-R,2024-07-13,2025-06-30,295923.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R41ES036472_7529
91337273,SORBENTA INC,JBJ7EF1MD9P1,7ea0b0d3-8c3f-fc4f-0170-65795b4ce9e6-R,2024-07-13,2025-06-30,295923.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R41ES036472_7529
91355069,PREDICTIVE LLC,LDHKC12HSJ86,d454ea06-acef-80ee-d5ff-5be40f735364-C,2020-09-09,2026-12-31,1185774.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44ES032371_7529
91345779,PREDICTIVE LLC,LDHKC12HSJ86,d454ea06-acef-80ee-d5ff-5be40f735364-C,2020-09-09,2021-11-30,167910.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R43ES032371_7529
91337270,PREDICTIVE LLC,LDHKC12HSJ86,d454ea06-acef-80ee-d5ff-5be40f735364-C,2021-12-20,2023-11-30,255538.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R41ES033857_7529
