internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
56332663,VISIMO LLC,X854ZJDHWHJ5,5c016687-bb74-4d3e-1056-45ff142b5047-C,2022-07-01,2023-02-28,123680.0,Department of Agriculture,National Institute of Food and Agriculture,,PROJECT GRANT (B),Department of Agriculture,National Institute of Food and Agriculture,95,department-of-agriculture,ASST_NON_20224000036950_12H3
91340056,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2022-09-15,2023-08-31,312548.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R43AG073035_7529
89702560,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2021-07-01,2024-06-30,499826.0,Department of Commerce,National Oceanic and Atmospheric Administration,,PROJECT GRANT (B),Department of Commerce,National Oceanic and Atmospheric Administration,183,department-of-commerce,ASST_NON_NA21OAR0210305_1330
89701686,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2020-07-01,2020-12-31,149264.0,Department of Commerce,National Oceanic and Atmospheric Administration,,PROJECT GRANT (B),Department of Commerce,National Oceanic and Atmospheric Administration,183,department-of-commerce,ASST_NON_NA20OAR0210327_1330
56318023,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2020-09-01,2021-04-30,99936.0,Department of Agriculture,National Institute of Food and Agriculture,,PROJECT GRANT (B),Department of Agriculture,National Institute of Food and Agriculture,95,department-of-agriculture,ASST_NON_20203361032479_12H3
91340056,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2022-09-15,2023-08-31,312548.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R43AG073035_7529
89702560,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2021-07-01,2024-06-30,499826.0,Department of Commerce,National Oceanic and Atmospheric Administration,,PROJECT GRANT (B),Department of Commerce,National Oceanic and Atmospheric Administration,183,department-of-commerce,ASST_NON_NA21OAR0210305_1330
89701686,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2020-07-01,2020-12-31,149264.0,Department of Commerce,National Oceanic and Atmospheric Administration,,PROJECT GRANT (B),Department of Commerce,National Oceanic and Atmospheric Administration,183,department-of-commerce,ASST_NON_NA20OAR0210327_1330
56318023,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2020-09-01,2021-04-30,99936.0,Department of Agriculture,National Institute of Food and Agriculture,,PROJECT GRANT (B),Department of Agriculture,National Institute of Food and Agriculture,95,department-of-agriculture,ASST_NON_20203361032479_12H3
91340056,SAFETYSPECT INC,VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,2022-09-15,2023-08-31,312548.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R43AG073035_7529
