internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
54297628,AXNANO LLC,NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,2018-03-01,2020-02-29,753347.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_1758621_4900
53328400,AXNANO LLC,NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,2016-07-01,2017-06-30,224934.0,National Science Foundation,National Science Foundation,,,,,655,national-science-foundation,ASST_NON_1622866_4900
91343316,ACCUNOVO BIOTECHNOLOGIES INC,DAF9XL6P2BG5,e78952b0-b6c6-e47a-854d-b22780800b21-R,2022-04-05,2024-03-31,376447.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R43CA261503_7529
91343316,ACCUNOVO BIOTECHNOLOGIES INC,DAF9XL6P2BG5,e78952b0-b6c6-e47a-854d-b22780800b21-R,2022-04-05,2024-03-31,376447.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R43CA261503_7529
57164615,"CURIEDX, INC",QUJ8BQ1CFAS2,89c9753f-a5ae-cb41-ecbb-9b7520583b6d-C,2023-06-01,2024-05-31,295000.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_2304268_4900
57164615,"CURIEDX, INC",QUJ8BQ1CFAS2,89c9753f-a5ae-cb41-ecbb-9b7520583b6d-C,2023-06-01,2024-05-31,295000.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_2304268_4900
91341529,"PROMPT DIAGNOSTICS, INC.",L28FVGJ715D7,fc0e05a0-19a2-7f5b-d32d-77bd4f754c69-C,2022-08-10,2025-01-31,258558.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R43AI170336_7529
56977786,"PROMPT DIAGNOSTICS, INC.",L28FVGJ715D7,fc0e05a0-19a2-7f5b-d32d-77bd4f754c69-C,2023-02-01,2024-12-31,255667.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),,,655,national-science-foundation,ASST_NON_2232930_4900
91357446,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2019-09-24,2022-05-31,1742317.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44MD014911_7529
91353513,LIFEGENE- BIOMARKS INC,GGR9ABCTBGG5,f10b2bf7-eedb-55ce-2227-a4cc887ca1f6-R,2023-09-20,2027-05-31,1205344.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44CA281719_7529
