internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
167470138,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2024-09-06,2025-03-05,197282.68,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W911SR24C0028_9700_-NONE-_-NONE-
167018181,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2024-05-28,2024-11-28,249999.74,Department of Defense,Department of the Army,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W5170124C0185_9700_-NONE-_-NONE-
166978676,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2009-09-14,2012-12-31,749988.0,Department of Defense,Department of the Army,DCA,,Department of Defense,Defense Advanced Research Projects Agency,1173,department-of-defense,CONT_AWD_W31P4Q09C0372_9700_-NONE-_-NONE-
166977377,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2008-03-10,2008-10-29,99000.0,Department of Defense,Department of the Army,DCA,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W31P4Q08C0237_9700_-NONE-_-NONE-
166890258,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2010-12-28,2011-06-22,69997.66,Department of Defense,Defense Contract Management Agency,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W15QKN11C0030_9700_-NONE-_-NONE-
131177622,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2022-11-07,2023-05-09,146500.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833523C0048_9700_-NONE-_-NONE-
131176596,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2022-07-25,2023-01-28,146500.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833522C0571_9700_-NONE-_-NONE-
131174678,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2021-05-13,2026-05-13,1924996.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833521C0373_9700_-NONE-_-NONE-
131174576,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2021-01-28,2024-09-30,1124997.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833521C0260_9700_-NONE-_-NONE-
131172487,HOLOCHIP CORP,PLRXAUJRGGT8,bfb03110-2217-1bd1-66e5-7973ffb49cf7-C,2020-04-27,2021-07-29,239996.0,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N6833520C0417_9700_-NONE-_-NONE-
