internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
167189788,ESTAT ACTUATION INC,GNHZJY3VLDP5,cac35b5e-dd6a-56d1-e2ce-44c89ef38935-C,2022-03-23,2022-10-22,249873.9,Department of Defense,Department of the Army,PURCHASE ORDER,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W81XWH22P0039_9700_-NONE-_-NONE-
128005155,ESTAT ACTUATION INC,GNHZJY3VLDP5,cac35b5e-dd6a-56d1-e2ce-44c89ef38935-C,2023-04-10,2025-08-02,1095266.41,Department of Defense,Defense Health Agency,DEFINITIVE CONTRACT,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_HT942523C0024_9700_-NONE-_-NONE-
118687623,ESTAT ACTUATION INC,GNHZJY3VLDP5,cac35b5e-dd6a-56d1-e2ce-44c89ef38935-C,2020-01-16,2020-11-23,100000.0,Department of Defense,Department of the Air Force,PURCHASE ORDER,,Department of Defense,Department of the Air Force,1173,department-of-defense,CONT_AWD_FA864920P0417_9700_-NONE-_-NONE-
118686921,ESTAT ACTUATION INC,GNHZJY3VLDP5,cac35b5e-dd6a-56d1-e2ce-44c89ef38935-C,2019-08-06,2019-11-12,25000.0,Department of Defense,Department of the Air Force,PURCHASE ORDER,,Department of Defense,Department of the Air Force,1173,department-of-defense,CONT_AWD_FA864919PA437_9700_-NONE-_-NONE-
167310336,"FABRISONIC, LLC",N53SQ9476Q64,6c895176-7baa-7741-cd38-912f50b4d5c7-C,2024-04-24,2025-04-30,45000.0,Department of Defense,Department of the Army,PURCHASE ORDER,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W911QX24P0097_9700_-NONE-_-NONE-
167309375,"FABRISONIC, LLC",N53SQ9476Q64,6c895176-7baa-7741-cd38-912f50b4d5c7-C,2021-05-20,2021-10-29,249999.0,Department of Defense,Department of the Army,PURCHASE ORDER,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W911QX21P0121_9700_-NONE-_-NONE-
131494457,"FABRISONIC, LLC",N53SQ9476Q64,6c895176-7baa-7741-cd38-912f50b4d5c7-C,2014-08-21,2014-10-10,127000.0,National Aeronautics and Space Administration,National Aeronautics and Space Administration,PO,,National Aeronautics and Space Administration,National Aeronautics and Space Administration,862,national-aeronautics-and-space-administration,CONT_AWD_NNL14AF05P_8000_-NONE-_-NONE-
129991918,"FABRISONIC, LLC",N53SQ9476Q64,6c895176-7baa-7741-cd38-912f50b4d5c7-C,2020-01-11,2020-01-29,242799.0,Department of Defense,Department of the Navy,PURCHASE ORDER,,Department of Defense,Department of the Navy,1173,department-of-defense,CONT_AWD_N0017819PP040_9700_-NONE-_-NONE-
167310434,NANOSPEC INSTRUMENTS LLC,MGD1BU9NUXP7,5d4f8eaf-531d-be4b-dc4c-61ff028ba6f1-C,2024-09-16,2024-12-27,152400.0,Department of Defense,Department of the Army,PURCHASE ORDER,,Department of Defense,Department of the Army,1173,department-of-defense,CONT_AWD_W911QX24P0200_9700_-NONE-_-NONE-
111663605,"PROMPT DIAGNOSTICS, INC.",L28FVGJ715D7,fc0e05a0-19a2-7f5b-d32d-77bd4f754c69-C,2022-09-20,2023-09-25,243179.0,Department of Health and Human Services,Centers for Disease Control and Prevention,PURCHASE ORDER,,Department of Health and Human Services,Centers for Disease Control and Prevention,806,department-of-health-and-human-services,CONT_AWD_75D30122P14799_7523_-NONE-_-NONE-
