uei,recipient_id,name,duns,address_line1,address_line2,city,state,zip,congressional_code
QH88DLKTLQM6,304bbef5-daea-8698-2305-1150b798254a-R,"NANOCRINE, INC.",117497549,4359 METROPOLITAN CT # 260,,FREDERICK,MD,21704,06
LL34B99KR2R4,6e554dd5-dcce-ec4d-3266-32201d7de6a1-C,MOLECULAR REBAR DESIGN LLC,078712611,13477 FITZHUGH RD,,AUSTIN,TX,78736,21
L28FVGJ715D7,fc0e05a0-19a2-7f5b-d32d-77bd4f754c69-C,"PROMPT DIAGNOSTICS, INC.",105269595,2401 W BELVEDERE AVE,SCHAPIRO BUILDING ROOM 313,BALTIMORE,MD,21215,07
LM98CNVAUTG5,4477dcb3-4cb3-b9ab-092c-f4864ecbbdf5-C,IM TECHNOLOGIES LLC,117200978,24 ROBINSON ST,,SHOREHAM,NY,11786,01
DAF9XL6P2BG5,e78952b0-b6c6-e47a-854d-b22780800b21-R,ACCUNOVO BIOTECHNOLOGIES INC,053776397,211 LAKE MANOR RD,,CHAPEL HILL,NC,27516,04
VF8ZC4A4ZWL9,9aee0a29-720f-6401-bfb2-eb26bf0967b4-C,SAFETYSPECT INC,080562947,4200 JAMES RAY DR,,GRAND FORKS,ND,58202,00
UFHYM6EJN7L3,75e22d86-5630-5fce-c47f-5e884f2c8476-C,"MELATECH, L.L.C.",081262454,615 N WOLFE ST,STE E5132,BALTIMORE,MD,21205,07
JBJ7EF1MD9P1,7ea0b0d3-8c3f-fc4f-0170-65795b4ce9e6-R,SORBENTA INC,,107 E POPLAR AVE,107 E POPLAR AVE,CARRBORO,NC,27510,04
ESP6ZKMSMQK8,4bc950cf-90a2-dd98-1a3e-515a6b2d06f8-C,CREEKSIDE ENVIRONMENTAL PRODUCTS LLC,080290127,1 SOUTHERN CSWY,,STARKVILLE,MS,39759,03
NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,AXNANO LLC,969638274,2901 E GATE CITY BLVD,STE 2200,GREENSBORO,NC,27401,06
