Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
4D VALUE ADDED SOLUTIONS TEAM,4D VALUE ADDED SOLUTIONS TEAM,10/04/2007,06/04/2008,"$99,991.00",Phase I,SBIR,2007.2,https://legacy.www.sbir.gov/sbirsearch/detail/76213
Ateam Corp,Ateam Corp,N/A,N/A,"$81,615.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99694
Ateam Corp,Ateam Corp,N/A,N/A,"$1,260,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99690
Ateam Corp,Ateam Corp,N/A,N/A,"$1,260,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99692
Ateam Corp,Ateam Corp,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99696
Ateam Corp,Ateam Corp,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99702
Ateam Corp,Ateam Corp,N/A,N/A,"$545,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99684
Ateam Corp,Ateam Corp,N/A,N/A,"$584,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99686
Ateam Corp,Ateam Corp,N/A,N/A,"$49,942.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99688
Ateam Corp,Ateam Corp,N/A,N/A,"$500,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99682
Ateam Corp,Ateam Corp,N/A,N/A,"$49,515.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/99698
"CARE TEAM SOLUTIONS, LLC","CARE TEAM SOLUTIONS, LLC",N/A,N/A,"$204,887.00",Phase I,SBIR,PA12-088,https://legacy.www.sbir.gov/sbirsearch/detail/677948
"CARE TEAM SOLUTIONS, LLC","CARE TEAM SOLUTIONS, LLC",N/A,N/A,"$149,307.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/679166
"CARE TEAM SOLUTIONS, LLC","CARE TEAM SOLUTIONS, LLC",N/A,N/A,"$206,335.00",Phase I,SBIR,PHS2010-2,https://legacy.www.sbir.gov/sbirsearch/detail/12977
"DELTA DEVELOPMENT TEAM, INC","DELTA DEVELOPMENT TEAM, INC",08/23/2022,12/24/2024,"$1,084,782.00",Phase II,SBIR,21.1,https://legacy.www.sbir.gov/sbirsearch/detail/2327345
"DELTA DEVELOPMENT TEAM, INC","DELTA DEVELOPMENT TEAM, INC",07/21/2021,02/20/2022,"$249,337.43",Phase I,SBIR,21.1,https://legacy.www.sbir.gov/sbirsearch/detail/2173801
"DELTA DEVELOPMENT TEAM, INC","DELTA DEVELOPMENT TEAM, INC",11/13/2019,11/13/2021,"$737,145.00",Phase II,SBIR,19.2,https://legacy.www.sbir.gov/sbirsearch/detail/1862049
"DELTA DEVELOPMENT TEAM, INC","DELTA DEVELOPMENT TEAM, INC",11/13/2019,11/13/2021,"$1,499,871.00",Phase II,SBIR,19.1,https://legacy.www.sbir.gov/sbirsearch/detail/1935693
"DELTA DEVELOPMENT TEAM, INC","DELTA DEVELOPMENT TEAM, INC",03/06/2019,06/04/2019,"$49,017.00",Phase I,SBIR,19.1,https://legacy.www.sbir.gov/sbirsearch/detail/1854931
"DELTA DEVELOPMENT TEAM, INC","DELTA DEVELOPMENT TEAM, INC",03/06/2019,06/04/2019,"$157,743.00",Phase I,SBIR,19.1,https://legacy.www.sbir.gov/sbirsearch/detail/1855563
"DELTA DEVELOPMENT TEAM, INC","DELTA DEVELOPMENT TEAM, INC",08/02/2019,11/08/2019,"$45,372.00",Phase I,SBIR,19.2,https://legacy.www.sbir.gov/sbirsearch/detail/1857933
"Human Automation Teaming Solutions, Inc","Human Automation Teaming Solutions, Inc",04/24/2018,04/23/2020,"$754,834.00",Phase II,SBIR,SBIR_17_P2,https://legacy.www.sbir.gov/sbirsearch/detail/1561503
"Human Automation Teaming Solutions, Inc","Human Automation Teaming Solutions, Inc",06/09/2017,12/08/2017,"$124,939.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1425383
"Human Automation Teaming Solutions, Inc","Human Automation Teaming Solutions, Inc",06/17/2015,12/17/2015,"$125,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/887847
Project Management Teams,Project Management Teams,N/A,N/A,"$500,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/282218
Project Management Teams,Project Management Teams,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/282220
"SPECIAL PROJECTS TEAM, LLC","SPECIAL PROJECTS TEAM, LLC",12/22/2008,09/22/2011,"$1,028,460.00",Phase II,SBIR,2007.2,https://legacy.www.sbir.gov/sbirsearch/detail/313749
"SPECIAL PROJECTS TEAM, LLC","SPECIAL PROJECTS TEAM, LLC",11/30/2007,05/30/2008,"$118,971.00",Phase I,SBIR,2007.2,https://legacy.www.sbir.gov/sbirsearch/detail/313745
"SPECIAL PROJECTS TEAM, LLC","SPECIAL PROJECTS TEAM, LLC",07/20/2007,04/30/2008,"$99,500.00",Phase I,SBIR,2007.1,https://legacy.www.sbir.gov/sbirsearch/detail/313747
STEAM INSTRUMENTS INC,STEAM INSTRUMENTS INC,08/22/2022,08/21/2024,"$1,149,978.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2282435
STEAM INSTRUMENTS INC,STEAM INSTRUMENTS INC,09/15/2022,02/28/2023,"$255,261.00",Phase I,SBIR,NSF 21-562,https://legacy.www.sbir.gov/sbirsearch/detail/2287903
STEAM INSTRUMENTS INC,STEAM INSTRUMENTS INC,06/28/2021,12/27/2021,"$199,482.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2074097
STEAM INSTRUMENTS INC,STEAM INSTRUMENTS INC,02/15/2020,02/14/2021,"$221,263.00",Phase I,SBIR,PA18-574,https://legacy.www.sbir.gov/sbirsearch/detail/1909175
"Steam Machines, Inc.","Steam Machines, Inc.",N/A,N/A,"$90,410.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/317721
"Steampunk, Inc.","Steampunk, Inc.",03/09/2020,06/09/2020,"$48,642.00",Phase I,SBIR,X20.1,https://legacy.www.sbir.gov/sbirsearch/detail/1941131
"Super Teams, Ltd.","Super Teams, Ltd.",N/A,N/A,"$99,499.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/320291
"Systeam, Inc.","Systeam, Inc.",N/A,N/A,"$63,840.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/323591
Team Craft,Team Craft,N/A,N/A,"$100,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/326891
