Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
AMPLIFIDX INC,AMPLIFIDX INC,05/01/2023,04/30/2025,"$286,775.00",Phase I,SBIR,PA21-259,https://legacy.www.sbir.gov/sbirsearch/detail/2507589
AMPLIFIDX INC,AMPLIFIDX INC,N/A,N/A,"$400,000.00",Phase I,SBIR,PHS-2022-1,https://legacy.www.sbir.gov/sbirsearch/detail/2313653
"CELL IDX, INC.","CELL IDX, INC.",09/25/2015,08/31/2018,"$1,261,326.00",Phase II,SBIR,PAR14-088,https://legacy.www.sbir.gov/sbirsearch/detail/1046509
"IDX Group, Inc.","IDX Group, Inc.",N/A,N/A,"$89,997.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/186903
"IDX LABS, LLC","IDX LABS, LLC",N/A,N/A,"$226,675.00",Phase I,SBIR,PHS2006-2,https://legacy.www.sbir.gov/sbirsearch/detail/1069137
"mFluiDx, Inc.","mFluiDx, Inc.",06/14/2019,05/31/2021,"$1,499,999.00",Phase II,SBIR,PA18-574,https://legacy.www.sbir.gov/sbirsearch/detail/1686535
"mFluiDx, Inc.","mFluiDx, Inc.",06/21/2018,05/31/2019,"$298,823.00",Phase I,SBIR,PA17-302,https://legacy.www.sbir.gov/sbirsearch/detail/1571203
"SiDx, Inc.","SiDx, Inc.",01/01/2021,12/31/2021,"$253,054.00",Phase I,SBIR,PA19-272,https://legacy.www.sbir.gov/sbirsearch/detail/2184697
"SiDx, Inc.","SiDx, Inc.",08/15/2019,06/30/2021,"$1,466,814.00",Phase II,SBIR,PA17-302,https://legacy.www.sbir.gov/sbirsearch/detail/1679439
"SiDx, Inc.","SiDx, Inc.",08/15/2018,07/31/2019,"$223,906.00",Phase I,SBIR,PA17-302,https://legacy.www.sbir.gov/sbirsearch/detail/1570973
"XEN BIOFLUIDX, INC","XEN BIOFLUIDX, INC",N/A,N/A,"$700,358.00",Phase I,SBIR,PA09-045,https://legacy.www.sbir.gov/sbirsearch/detail/400344
Nyx Illuminated Clothing Company,Nyx Illuminated Clothing Company,02/06/2008,02/05/2010,"$599,980.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/253683
Nyx Illuminated Clothing Company,Nyx Illuminated Clothing Company,01/19/2007,07/23/2007,"$98,651.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/253681
