Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"ACME EXPRESS, INC","ACME EXPRESS, INC",08/19/2019,08/18/2021,"$1,050,000.00",Phase II,SBIR,DE-FOA-0001976,https://legacy.www.sbir.gov/sbirsearch/detail/1648749
"ACME EXPRESS, INC","ACME EXPRESS, INC",07/02/2018,01/01/2019,"$155,000.00",Phase I,SBIR,DE-FOA-0001771,https://legacy.www.sbir.gov/sbirsearch/detail/1524239
"ACME EXPRESS, INC","ACME EXPRESS, INC",N/A,N/A,"$551,839.00",Phase II,SBIR,PHS2010-2,https://legacy.www.sbir.gov/sbirsearch/detail/885
"ACME EXPRESS, INC","ACME EXPRESS, INC",N/A,N/A,"$98,044.00",Phase I,SBIR,PHS2007-2,https://legacy.www.sbir.gov/sbirsearch/detail/69583
"ACME EXPRESS, INC","ACME EXPRESS, INC",N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/69577
"ACME EXPRESS, INC","ACME EXPRESS, INC",N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/69579
"ACME EXPRESS, INC","ACME EXPRESS, INC",N/A,N/A,"$749,979.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/69575
"ACME EXPRESS, INC","ACME EXPRESS, INC",N/A,N/A,"$73,740.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/69581
"ANTIGEN EXPRESS, INC.","ANTIGEN EXPRESS, INC.",N/A,N/A,"$354,100.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90980
"ANTIGEN EXPRESS, INC.","ANTIGEN EXPRESS, INC.",N/A,N/A,"$224,700.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90982
"ANTIGEN EXPRESS, INC.","ANTIGEN EXPRESS, INC.",N/A,N/A,"$444,070.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90984
"ANTIGEN EXPRESS, INC.","ANTIGEN EXPRESS, INC.",N/A,N/A,"$301,761.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90978
"ANTIGEN EXPRESS, INC.","ANTIGEN EXPRESS, INC.",N/A,N/A,"$191,744.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90974
"ANTIGEN EXPRESS, INC.","ANTIGEN EXPRESS, INC.",N/A,N/A,"$287,382.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90976
"ANTIGEN EXPRESS, INC.","ANTIGEN EXPRESS, INC.",N/A,N/A,"$173,340.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90972
"ANTIGEN EXPRESS, INC.","ANTIGEN EXPRESS, INC.",N/A,N/A,"$100,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90986
"ANTIGEN EXPRESS, INC.","ANTIGEN EXPRESS, INC.",N/A,N/A,"$100,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/90970
