Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
CykloBurn Technologies LLC,CykloBurn Technologies LLC,06/15/2018,11/30/2018,"$225,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1521873
LUVOZO PBC,LUVOZO PBC,01/01/2016,06/30/2016,"$150,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/965483
OPAL HTM INC,OPAL HTM INC,09/01/2023,08/31/2024,"$275,000.00",Phase I,STTR,NSF 23-515,https://legacy.www.sbir.gov/sbirsearch/detail/2483207
"REDSHRED, LLC","REDSHRED, LLC",06/05/2023,06/05/2025,"$1,799,952.00",Phase II,SBIR,23.1,https://legacy.www.sbir.gov/sbirsearch/detail/2561713
"REDSHRED, LLC","REDSHRED, LLC",11/19/2021,02/21/2022,"$49,999.00",Phase I,STTR,X21.B,https://legacy.www.sbir.gov/sbirsearch/detail/2217205
"REDSHRED, LLC","REDSHRED, LLC",08/29/2022,08/29/2025,"$3,532,514.53",Phase II,SBIR,19.2,https://legacy.www.sbir.gov/sbirsearch/detail/2331315
"REDSHRED, LLC","REDSHRED, LLC",03/12/2021,06/14/2022,"$749,997.12",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2165081
"REDSHRED, LLC","REDSHRED, LLC",08/06/2021,11/09/2022,"$750,000.00",Phase II,SBIR,X21.1,https://legacy.www.sbir.gov/sbirsearch/detail/2167647
"REDSHRED, LLC","REDSHRED, LLC",09/01/2021,08/31/2023,"$400,000.00",Phase II,SBIR,2021-NIST-SBIR-02,https://legacy.www.sbir.gov/sbirsearch/detail/2195745
"REDSHRED, LLC","REDSHRED, LLC",09/01/2020,02/28/2021,"$100,000.00",Phase I,SBIR,2020-NIST-SBIR-01,https://legacy.www.sbir.gov/sbirsearch/detail/1714163
"REDSHRED, LLC","REDSHRED, LLC",03/09/2020,06/09/2020,"$49,938.00",Phase I,SBIR,X20.1,https://legacy.www.sbir.gov/sbirsearch/detail/1942139
"REDSHRED, LLC","REDSHRED, LLC",08/02/2019,08/02/2021,"$749,998.00",Phase II,SBIR,19.2,https://legacy.www.sbir.gov/sbirsearch/detail/1861921
"REDSHRED, LLC","REDSHRED, LLC",04/01/2018,09/30/2019,"$744,593.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1500123
