Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$69,552.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173082
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$750,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173078
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$581,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173076
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$79,213.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173080
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$61,992.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173074
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$57,701.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173086
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$60,485.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173070
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$50,932.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173072
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$49,892.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173068
General Pneumatics Corporation,General Pneumatics Corporation,N/A,N/A,"$44,456.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/173094
"Napneumatics, Inc.","Napneumatics, Inc.",N/A,N/A,"$69,464.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/245138
Pneumafil Corp.,Pneumafil Corp.,N/A,N/A,"$69,449.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/277548
"PNEUMAX, LLC","PNEUMAX, LLC",09/01/2019,08/31/2020,"$223,426.00",Phase I,STTR,PA18-575,https://legacy.www.sbir.gov/sbirsearch/detail/1680273
