Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,N/A,N/A,"$2,000,000.00",Phase II,SBIR,75N93022R00025,https://legacy.www.sbir.gov/sbirsearch/detail/2580371
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,07/23/2021,06/30/2022,"$300,000.00",Phase I,SBIR,PA20-260,https://legacy.www.sbir.gov/sbirsearch/detail/2190255
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,07/07/2021,06/30/2023,"$600,000.00",Phase I,SBIR,PA20-260,https://legacy.www.sbir.gov/sbirsearch/detail/2190315
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,12/12/2019,11/30/2020,"$300,000.00",Phase I,SBIR,PA18-574,https://legacy.www.sbir.gov/sbirsearch/detail/1909083
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,N/A,N/A,"$299,975.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1944859
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,01/01/2018,12/31/2020,"$2,000,000.00",Phase II,SBIR,PA16-302,https://legacy.www.sbir.gov/sbirsearch/detail/1565411
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,08/15/2018,07/31/2019,"$300,000.00",Phase I,SBIR,PA18-574,https://legacy.www.sbir.gov/sbirsearch/detail/1571655
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,08/18/2017,09/30/2019,"$288,740.00",Phase I,SBIR,PA14-101,https://legacy.www.sbir.gov/sbirsearch/detail/1322751
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,08/01/2017,10/31/2018,"$297,200.00",Phase I,SBIR,PA14-101,https://legacy.www.sbir.gov/sbirsearch/detail/1322787
ACCELEVIR DIAGNOSTICS LLC,ACCELEVIR DIAGNOSTICS LLC,09/15/2017,08/31/2019,"$500,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1355891
Advanced Aircraft Company LLC,Advanced Aircraft Company LLC,08/30/2023,03/03/2025,"$1,249,992.00",Phase II,SBIR,X23.6,https://legacy.www.sbir.gov/sbirsearch/detail/2561961
Advanced Aircraft Company LLC,Advanced Aircraft Company LLC,12/15/2021,03/17/2022,"$49,999.00",Phase I,SBIR,X21.2,https://legacy.www.sbir.gov/sbirsearch/detail/2216061
Advanced Aircraft Company LLC,Advanced Aircraft Company LLC,07/22/2022,10/25/2023,"$749,999.00",Phase II,SBIR,X21.2,https://legacy.www.sbir.gov/sbirsearch/detail/2348777
ARMAMENTS RESEARCH COMPANY INC.,ARMAMENTS RESEARCH COMPANY INC.,06/06/2023,05/24/2027,"$3,499,596.84",Phase II,SBIR,X20.2,https://legacy.www.sbir.gov/sbirsearch/detail/2568563
ARMAMENTS RESEARCH COMPANY INC.,ARMAMENTS RESEARCH COMPANY INC.,05/01/2020,05/01/2022,"$1,499,887.00",Phase II,SBIR,DoD SBIR X19.2,https://legacy.www.sbir.gov/sbirsearch/detail/1966839
ARMAMENTS RESEARCH COMPANY INC.,ARMAMENTS RESEARCH COMPANY INC.,03/09/2020,06/09/2020,"$50,000.00",Phase I,SBIR,20.1,https://legacy.www.sbir.gov/sbirsearch/detail/1967495
ARMAMENTS RESEARCH COMPANY INC.,ARMAMENTS RESEARCH COMPANY INC.,09/01/2019,08/31/2020,"$750,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1644443
ARMAMENTS RESEARCH COMPANY INC.,ARMAMENTS RESEARCH COMPANY INC.,01/31/2019,01/31/2020,"$74,680.00",Phase I,SBIR,18.3,https://legacy.www.sbir.gov/sbirsearch/detail/1852967
ARMAMENTS RESEARCH COMPANY INC.,ARMAMENTS RESEARCH COMPANY INC.,06/15/2018,05/31/2019,"$225,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1522085
