Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
KESTREL CORP,KESTREL CORP,11/05/2021,02/04/2022,"$49,983.00",Phase I,SBIR,X21.2,https://legacy.www.sbir.gov/sbirsearch/detail/2218369
KESTREL CORP,KESTREL CORP,04/15/2021,07/15/2021,"$49,926.00",Phase I,SBIR,X20.3,https://legacy.www.sbir.gov/sbirsearch/detail/2169697
KESTREL CORP,KESTREL CORP,04/15/2021,07/15/2021,"$49,983.00",Phase I,SBIR,X21.1,https://legacy.www.sbir.gov/sbirsearch/detail/2172505
KESTREL CORP,KESTREL CORP,08/19/2021,01/18/2023,"$1,700,000.00",Phase II,SBIR,X20.3,https://legacy.www.sbir.gov/sbirsearch/detail/2243049
KESTREL CORP,KESTREL CORP,08/14/2015,08/15/2015,"$1,482,784.00",Phase II,SBIR,2010.3,https://legacy.www.sbir.gov/sbirsearch/detail/414622
KESTREL CORP,KESTREL CORP,05/15/2014,02/16/2015,"$149,972.00",Phase I,SBIR,2014.1,https://legacy.www.sbir.gov/sbirsearch/detail/689017
KESTREL CORP,KESTREL CORP,09/12/2014,05/07/2019,"$1,474,984.00",Phase II,SBIR,2012.2,https://legacy.www.sbir.gov/sbirsearch/detail/696423
KESTREL CORP,KESTREL CORP,01/03/2013,05/05/2014,"$149,993.00",Phase I,SBIR,2012.2,https://legacy.www.sbir.gov/sbirsearch/detail/407893
KESTREL CORP,KESTREL CORP,08/03/2012,N/A,"$150,000.00",Phase I,SBIR,2012.1,https://legacy.www.sbir.gov/sbirsearch/detail/394491
KESTREL CORP,KESTREL CORP,06/04/2012,N/A,"$149,999.00",Phase I,SBIR,2012.1,https://legacy.www.sbir.gov/sbirsearch/detail/395185
Kestrel Labs Inc,Kestrel Labs Inc,07/15/2020,05/31/2022,"$499,642.00",Phase II,SBIR,PAR19-333,https://legacy.www.sbir.gov/sbirsearch/detail/1911505
Kestrel Labs Inc,Kestrel Labs Inc,06/07/2016,05/31/2018,"$150,000.00",Phase I,SBIR,PA14-071,https://legacy.www.sbir.gov/sbirsearch/detail/1164407
Kestrel Labs Inc,Kestrel Labs Inc,04/11/2014,08/31/2017,"$998,420.00",Phase II,SBIR,PA13-234,https://legacy.www.sbir.gov/sbirsearch/detail/710227
Kestrel Labs Inc,Kestrel Labs Inc,N/A,N/A,"$165,117.00",Phase I,SBIR,PA10-050,https://legacy.www.sbir.gov/sbirsearch/detail/368741
Kestrel Labs Inc,Kestrel Labs Inc,N/A,N/A,"$2,914,210.00",Phase II,SBIR,PHS2006-2,https://legacy.www.sbir.gov/sbirsearch/detail/209669
Kestrel Labs Inc,Kestrel Labs Inc,N/A,N/A,"$1,020,710.00",Phase II,SBIR,PHS2005-2,https://legacy.www.sbir.gov/sbirsearch/detail/209671
Kestrel Labs Inc,Kestrel Labs Inc,N/A,N/A,"$99,976.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/209667
Kestrel Labs Inc,Kestrel Labs Inc,N/A,N/A,"$99,778.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/209673
