Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"CADRE BIOSCIENCE, LLC","CADRE BIOSCIENCE, LLC",04/01/2023,03/31/2024,"$353,411.00",Phase I,SBIR,PA22-176,https://legacy.www.sbir.gov/sbirsearch/detail/2508827
"CADRE BIOSCIENCE, LLC","CADRE BIOSCIENCE, LLC",09/20/2021,07/31/2022,"$430,855.00",Phase I,SBIR,PA20-260,https://legacy.www.sbir.gov/sbirsearch/detail/2189623
Cadre Research Labs (Illinois) LLC,Cadre Research Labs (Illinois) LLC,07/16/2018,08/31/2020,"$299,400.00",Phase II,SBIR,2018-NIST-SBIR-02,https://legacy.www.sbir.gov/sbirsearch/detail/1520853
Cadre Research Labs (Illinois) LLC,Cadre Research Labs (Illinois) LLC,07/31/2017,01/30/2018,"$92,100.00",Phase I,SBIR,2017-NIST-SBIR-01,https://legacy.www.sbir.gov/sbirsearch/detail/1320229
IT CADRE LLC,IT CADRE LLC,03/09/2020,06/09/2020,"$50,000.00",Phase I,SBIR,X20.1,https://legacy.www.sbir.gov/sbirsearch/detail/1941089
"Campbell Scientific, Inc.","Campbell Scientific, Inc.",N/A,N/A,"$99,671.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/116811
"Campbell Scientific, Inc.","Campbell Scientific, Inc.",N/A,N/A,$0.00,Phase I,STTR,DE-FG01-04ER04-33,https://legacy.www.sbir.gov/sbirsearch/detail/1206345
DANIEL CAMPBELL,DANIEL CAMPBELL,11/16/2021,02/15/2022,"$49,800.00",Phase I,STTR,X21.B,https://legacy.www.sbir.gov/sbirsearch/detail/2217117
DANIEL CAMPBELL,DANIEL CAMPBELL,02/08/2021,05/08/2021,"$40,900.00",Phase I,STTR,X20.C,https://legacy.www.sbir.gov/sbirsearch/detail/2170109
"Icamp, Inc.","Icamp, Inc.",N/A,N/A,"$198,325.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/186214
WILSON CAMPBELL SYSTEMS,WILSON CAMPBELL SYSTEMS,03/02/2009,12/02/2009,"$95,193.00",Phase I,SBIR,2008.2,https://legacy.www.sbir.gov/sbirsearch/detail/70775
