Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"ACCU MEASUREMENT AND TESTING, INC.","ACCU MEASUREMENT AND TESTING, INC.",N/A,N/A,"$100,000.00",Phase I,SBIR,NSF 06-553,https://legacy.www.sbir.gov/sbirsearch/detail/68927
ADAPTIVE TESTING TECHNOLOGIES INC,ADAPTIVE TESTING TECHNOLOGIES INC,09/04/2020,08/31/2023,"$1,583,812.00",Phase II,SBIR,PA20-272,https://legacy.www.sbir.gov/sbirsearch/detail/1913823
ADAPTIVE TESTING TECHNOLOGIES INC,ADAPTIVE TESTING TECHNOLOGIES INC,05/01/2019,10/31/2020,"$322,193.00",Phase I,SBIR,PA18-591,https://legacy.www.sbir.gov/sbirsearch/detail/1680821
Advanced Technologies & Testin,Advanced Technologies & Testin,N/A,N/A,"$38,828.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/78037
ADVANCED TECHNOLOGIES & TESTING LABORATORIES INC,ADVANCED TECHNOLOGIES & TESTING LABORATORIES INC,09/01/2015,02/29/2016,"$98,931.25",Phase I,SBIR,SOL-NC-14-00014,https://legacy.www.sbir.gov/sbirsearch/detail/882463
American Testing Services LLC,American Testing Services LLC,02/03/2014,11/02/2014,"$149,838.00",Phase I,SBIR,2013.1,https://legacy.www.sbir.gov/sbirsearch/detail/684970
American Testing Services LLC,American Testing Services LLC,05/14/2012,N/A,"$704,640.00",Phase II,SBIR,2010.3,https://legacy.www.sbir.gov/sbirsearch/detail/397091
American Testing Services LLC,American Testing Services LLC,12/17/2010,N/A,"$98,850.00",Phase I,SBIR,2010.3,https://legacy.www.sbir.gov/sbirsearch/detail/381563
"BREVITEST TECHNOLOGIES, INC.","BREVITEST TECHNOLOGIES, INC.",04/01/2019,09/30/2021,"$1,497,460.00",Phase II,SBIR,PA18-574,https://legacy.www.sbir.gov/sbirsearch/detail/1682039
"BREVITEST TECHNOLOGIES, INC.","BREVITEST TECHNOLOGIES, INC.",09/21/2018,08/31/2019,"$219,204.00",Phase I,SBIR,PA18-574,https://legacy.www.sbir.gov/sbirsearch/detail/1572283
"BREVITEST TECHNOLOGIES, INC.","BREVITEST TECHNOLOGIES, INC.",03/01/2017,08/31/2018,"$224,415.00",Phase I,SBIR,PA15-269,https://legacy.www.sbir.gov/sbirsearch/detail/1246731
"BREVITEST TECHNOLOGIES, INC.","BREVITEST TECHNOLOGIES, INC.",05/01/2016,03/31/2017,"$224,412.00",Phase I,SBIR,PA15-269,https://legacy.www.sbir.gov/sbirsearch/detail/1163483
"CHANTEST, INC.","CHANTEST, INC.",N/A,N/A,"$1,184,308.00",Phase II,SBIR,PA11-096,https://legacy.www.sbir.gov/sbirsearch/detail/389353
"CHANTEST, INC.","CHANTEST, INC.",N/A,N/A,"$149,275.00",Phase I,SBIR,PHS2010-2,https://legacy.www.sbir.gov/sbirsearch/detail/2939
"CHANTEST, INC.","CHANTEST, INC.",N/A,N/A,"$149,322.00",Phase I,SBIR,PHS2006-2,https://legacy.www.sbir.gov/sbirsearch/detail/122611
"CHANTEST, INC.","CHANTEST, INC.",N/A,N/A,$0.00,Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/122607
"CHANTEST, INC.","CHANTEST, INC.",N/A,N/A,"$580,448.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/122609
"CHANTEST, INC.","CHANTEST, INC.",N/A,N/A,"$99,924.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/122605
"CHANTEST, INC.","CHANTEST, INC.",N/A,N/A,"$89,263.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/122613
Chemical Testing & Consulting,Chemical Testing & Consulting,N/A,N/A,"$47,173.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/124546
"Complete Test and Measurement Systems, Inc.","Complete Test and Measurement Systems, Inc.",N/A,N/A,"$75,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/130482
"Consolidated Engineers and Materials Testing, Inc.","Consolidated Engineers and Materials Testing, Inc.",N/A,N/A,"$275,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/132438
"Consolidated Engineers and Materials Testing, Inc.","Consolidated Engineers and Materials Testing, Inc.",N/A,N/A,$0.00,Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/132440
