Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
Stacks Inc,Stacks Inc,N/A,N/A,"$47,164.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/316932
AEROGEL TECHNOLOGIES LLC,AEROGEL TECHNOLOGIES LLC,06/15/2020,05/31/2021,"$224,557.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1839597
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",02/19/2013,N/A,"$150,000.00",Phase I,SBIR,DE-FOA-0000715,https://legacy.www.sbir.gov/sbirsearch/detail/408796
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",02/19/2013,N/A,"$149,990.00",Phase I,SBIR,DE-FOA-0000715,https://legacy.www.sbir.gov/sbirsearch/detail/408814
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",05/23/2013,11/23/2013,"$124,814.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/411517
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",08/01/2013,07/31/2015,"$699,999.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/417131
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",02/13/2012,08/13/2012,"$124,248.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/388486
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",02/13/2012,08/13/2012,"$124,939.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/388702
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",05/31/2012,N/A,"$79,992.00",Phase I,SBIR,2012.1,https://legacy.www.sbir.gov/sbirsearch/detail/396511
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",04/25/2012,N/A,"$746,514.00",Phase II,SBIR,2010.3,https://legacy.www.sbir.gov/sbirsearch/detail/396797
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",03/09/2012,05/09/2014,"$728,925.00",Phase II,SBIR,2010.2,https://legacy.www.sbir.gov/sbirsearch/detail/397293
"ASPEN AEROGELS, INC.","ASPEN AEROGELS, INC.",06/01/2011,08/31/2013,"$599,971.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/369679
"Delta Zee Solutions, L.L.C.","Delta Zee Solutions, L.L.C.",08/27/2020,03/01/2021,"$124,404.00",Phase I,SBIR,SBIR_20_P1,https://legacy.www.sbir.gov/sbirsearch/detail/1882099
