Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"Precision Neuroscopics, Inc","Precision Neuroscopics, Inc",09/01/2022,08/31/2024,"$256,448.00",Phase I,STTR,PA21-262,https://legacy.www.sbir.gov/sbirsearch/detail/2299801
"Precision Neuroscopics, Inc","Precision Neuroscopics, Inc",09/15/2021,08/31/2023,"$1,000,000.00",Phase II,STTR,NSF 20-546,https://legacy.www.sbir.gov/sbirsearch/detail/2102061
"Precision Neuroscopics, Inc","Precision Neuroscopics, Inc",02/15/2019,01/31/2020,"$224,999.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1585443
"SinnovaTek, Inc.","SinnovaTek, Inc.",08/10/2021,08/31/2023,"$649,853.00",Phase II,SBIR,USDA-NIFA-SBIR-008102,https://legacy.www.sbir.gov/sbirsearch/detail/2196429
"SinnovaTek, Inc.","SinnovaTek, Inc.",07/27/2020,04/30/2021,"$100,000.00",Phase I,SBIR,USDA-NIFA-SBIR-006790,https://legacy.www.sbir.gov/sbirsearch/detail/1906393
"SinnovaTek, Inc.","SinnovaTek, Inc.",08/01/2018,07/31/2019,"$97,917.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1548941
"NEXTSTEP ROBOTICS, INC.","NEXTSTEP ROBOTICS, INC.",05/01/2021,02/28/2025,"$3,038,856.00",Phase II,SBIR,NS18-012,https://legacy.www.sbir.gov/sbirsearch/detail/2192393
"NEXTSTEP ROBOTICS, INC.","NEXTSTEP ROBOTICS, INC.",08/15/2019,07/31/2020,"$1,057,060.00",Phase I,SBIR,PA18-591,https://legacy.www.sbir.gov/sbirsearch/detail/1679815
"Spheringenics, Inc.","Spheringenics, Inc.",09/11/2015,02/15/2018,"$997,779.00",Phase II,SBIR,2010.3,https://legacy.www.sbir.gov/sbirsearch/detail/869367
"Spheringenics, Inc.","Spheringenics, Inc.",03/27/2012,N/A,"$729,999.00",Phase II,SBIR,2010.3,https://legacy.www.sbir.gov/sbirsearch/detail/397923
"Spheringenics, Inc.","Spheringenics, Inc.",03/23/2011,N/A,"$150,000.00",Phase I,SBIR,2010.3,https://legacy.www.sbir.gov/sbirsearch/detail/379831
