Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
Ascribe Bioscience Inc.,Ascribe Bioscience Inc.,07/25/2022,06/30/2023,"$299,999.00",Phase I,STTR,PA21-262,https://legacy.www.sbir.gov/sbirsearch/detail/2300003
Ascribe Bioscience Inc.,Ascribe Bioscience Inc.,03/10/2022,02/28/2025,"$1,989,388.00",Phase II,SBIR,PA20-260,https://legacy.www.sbir.gov/sbirsearch/detail/2336979
Ascribe Bioscience Inc.,Ascribe Bioscience Inc.,07/15/2020,06/30/2022,"$750,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1840613
Ascribe Bioscience Inc.,Ascribe Bioscience Inc.,04/01/2020,03/31/2021,"$252,130.00",Phase I,STTR,PA19-270,https://legacy.www.sbir.gov/sbirsearch/detail/1912407
Ascribe Bioscience Inc.,Ascribe Bioscience Inc.,02/01/2019,01/31/2020,"$224,923.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1584611
CVD MESOSCRIBE TECHNOLOGIES CORP,CVD MESOSCRIBE TECHNOLOGIES CORP,03/25/2021,03/25/2023,"$749,999.00",Phase II,SBIR,18.2,https://legacy.www.sbir.gov/sbirsearch/detail/2160979
CVD MESOSCRIBE TECHNOLOGIES CORP,CVD MESOSCRIBE TECHNOLOGIES CORP,01/23/2020,01/23/2022,"$749,506.00",Phase II,SBIR,18.2,https://legacy.www.sbir.gov/sbirsearch/detail/2055129
"Infoscribe Technologies, Ltd.","Infoscribe Technologies, Ltd.",N/A,N/A,"$740,966.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/191382
"Infoscribe Technologies, Ltd.","Infoscribe Technologies, Ltd.",N/A,N/A,"$99,462.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/191380
"Infoscribe Technologies, Ltd.","Infoscribe Technologies, Ltd.",N/A,N/A,"$750,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/191378
"Infoscribe Technologies, Ltd.","Infoscribe Technologies, Ltd.",N/A,N/A,"$80,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/191384
"MESOSCRIBE TECHNOLOGIES, INC.","MESOSCRIBE TECHNOLOGIES, INC.",10/14/2014,10/13/2016,"$747,589.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/885689
"MESOSCRIBE TECHNOLOGIES, INC.","MESOSCRIBE TECHNOLOGIES, INC.",06/20/2014,06/19/2015,"$122,904.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/702297
"MESOSCRIBE TECHNOLOGIES, INC.","MESOSCRIBE TECHNOLOGIES, INC.",05/23/2013,11/23/2013,"$124,999.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/411521
"MESOSCRIBE TECHNOLOGIES, INC.","MESOSCRIBE TECHNOLOGIES, INC.",02/13/2012,08/13/2012,"$125,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/388406
"MESOSCRIBE TECHNOLOGIES, INC.","MESOSCRIBE TECHNOLOGIES, INC.",08/08/2012,08/07/2014,"$999,998.00",Phase II,SBIR,DE-FOA-0000676,https://legacy.www.sbir.gov/sbirsearch/detail/390433
"MESOSCRIBE TECHNOLOGIES, INC.","MESOSCRIBE TECHNOLOGIES, INC.",02/01/2012,N/A,"$100,000.00",Phase I,SBIR,2011.2,https://legacy.www.sbir.gov/sbirsearch/detail/394073
