Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"BALANCE THERAPEUTICS, INC.","BALANCE THERAPEUTICS, INC.",N/A,N/A,"$1,100,000.00",Phase II,SBIR,PAR08-235,https://legacy.www.sbir.gov/sbirsearch/detail/389461
"BALANCE THERAPEUTICS, INC.","BALANCE THERAPEUTICS, INC.",N/A,N/A,"$363,028.00",Phase I,SBIR,PAR08-235,https://legacy.www.sbir.gov/sbirsearch/detail/369255
BalanceSense LLC,BalanceSense LLC,07/01/2011,N/A,"$749,636.00",Phase II,SBIR,2009.3,https://legacy.www.sbir.gov/sbirsearch/detail/383781
BalanceSense LLC,BalanceSense LLC,04/01/2010,11/14/2010,"$99,609.00",Phase I,SBIR,2009.3,https://legacy.www.sbir.gov/sbirsearch/detail/13037
"MediaBalance, Inc.","MediaBalance, Inc.",01/28/2010,10/01/2010,"$98,996.00",Phase I,SBIR,2009.2,https://legacy.www.sbir.gov/sbirsearch/detail/7205
"MediaBalance, Inc.","MediaBalance, Inc.",N/A,N/A,"$191,710.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/228330
"MediaBalance, Inc.","MediaBalance, Inc.",N/A,N/A,"$100,000.00",Phase I,SBIR,NSF 06-553,https://legacy.www.sbir.gov/sbirsearch/detail/228332
"MediaBalance, Inc.","MediaBalance, Inc.",N/A,N/A,"$173,029.00",Phase I,SBIR,PHS2006-2,https://legacy.www.sbir.gov/sbirsearch/detail/228326
"MediaBalance, Inc.","MediaBalance, Inc.",N/A,N/A,"$170,000.00",Phase I,SBIR,PHS2006-2,https://legacy.www.sbir.gov/sbirsearch/detail/228328
"MediaBalance, Inc.","MediaBalance, Inc.",N/A,N/A,"$193,102.00",Phase I,SBIR,PHS2005-2,https://legacy.www.sbir.gov/sbirsearch/detail/228324
Ocean's Balance Inc,Ocean's Balance Inc,08/01/2023,07/31/2025,"$650,000.00",Phase II,SBIR,NOAA-OAR-TPO-2023-2007785,https://legacy.www.sbir.gov/sbirsearch/detail/2557307
Ocean's Balance Inc,Ocean's Balance Inc,09/01/2022,02/28/2023,"$150,000.00",Phase I,SBIR,NOAA-OAR-OAR-TPO-2022-2007117,https://legacy.www.sbir.gov/sbirsearch/detail/2280701
Electrostatic Spraying Systems,Electrostatic Spraying Systems,N/A,N/A,"$215,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/154880
Electrostatic Spraying Systems,Electrostatic Spraying Systems,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/154882
Flame-spray Industries Inc,Flame-spray Industries Inc,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/167233
"NANOSPRAY, LLC","NANOSPRAY, LLC",06/27/2022,06/26/2023,"$199,999.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2277363
SOLUTION SPRAY TECHNOLOGIES LLC,SOLUTION SPRAY TECHNOLOGIES LLC,10/01/2022,03/31/2023,"$100,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2311941
SOLUTION SPRAY TECHNOLOGIES LLC,SOLUTION SPRAY TECHNOLOGIES LLC,05/04/2022,02/09/2024,"$1,249,833.00",Phase II,SBIR,X22.1,https://legacy.www.sbir.gov/sbirsearch/detail/2325737
SOLUTION SPRAY TECHNOLOGIES LLC,SOLUTION SPRAY TECHNOLOGIES LLC,08/24/2020,08/23/2022,"$1,150,000.00",Phase II,STTR,DE-FOA-0002156,https://legacy.www.sbir.gov/sbirsearch/detail/1869265
SOLUTION SPRAY TECHNOLOGIES LLC,SOLUTION SPRAY TECHNOLOGIES LLC,07/01/2019,03/31/2020,"$200,000.00",Phase I,SBIR,DE-FOA-0001941,https://legacy.www.sbir.gov/sbirsearch/detail/1640107
SOLUTION SPRAY TECHNOLOGIES LLC,SOLUTION SPRAY TECHNOLOGIES LLC,12/01/2016,11/30/2017,"$225,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1216833
SOLUTION SPRAY TECHNOLOGIES LLC,SOLUTION SPRAY TECHNOLOGIES LLC,06/13/2016,03/12/2017,"$149,999.56",Phase I,SBIR,DE-FOA-0001417,https://legacy.www.sbir.gov/sbirsearch/detail/1207369
Spray Redux LLC,Spray Redux LLC,N/A,N/A,"$76,390.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/316253
"THERMAL SPRAY TECHNOLOGIES, INC.","THERMAL SPRAY TECHNOLOGIES, INC.",N/A,N/A,"$74,114.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/333242
"THERMAL SPRAY TECHNOLOGIES, INC.","THERMAL SPRAY TECHNOLOGIES, INC.",N/A,N/A,"$66,627.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/333244
"THERMAL SPRAY TECHNOLOGIES, INC.","THERMAL SPRAY TECHNOLOGIES, INC.",N/A,N/A,"$90,370.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/333240
"THERMAL SPRAY TECHNOLOGIES, INC.","THERMAL SPRAY TECHNOLOGIES, INC.",N/A,N/A,"$49,600.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/333238
