Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"INTRALOOP, INC.","INTRALOOP, INC.",11/01/2021,02/07/2022,"$49,265.00",Phase I,SBIR,X21.2,https://legacy.www.sbir.gov/sbirsearch/detail/2215725
"INTRALOOP, INC.","INTRALOOP, INC.",04/16/2021,07/19/2021,"$49,928.00",Phase I,SBIR,X21.1,https://legacy.www.sbir.gov/sbirsearch/detail/2171701
"LOOP CO2, INC.","LOOP CO2, INC.",08/21/2023,08/20/2025,"$1,650,000.00",Phase II,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2495619
"LOOP CO2, INC.","LOOP CO2, INC.",06/27/2022,06/26/2023,"$250,000.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2285693
"STEMLOOP, INC.","STEMLOOP, INC.",09/20/2022,08/31/2024,"$1,730,738.00",Phase II,SBIR,PA21-259,https://legacy.www.sbir.gov/sbirsearch/detail/2339025
"STEMLOOP, INC.","STEMLOOP, INC.",08/01/2020,07/31/2021,"$256,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1840541
"STEMLOOP, INC.","STEMLOOP, INC.",09/09/2020,07/13/2021,"$277,000.00",Phase I,SBIR,PA19-029,https://legacy.www.sbir.gov/sbirsearch/detail/1912861
STRANGE LOOP GAMES INC.,STRANGE LOOP GAMES INC.,12/15/2016,05/31/2017,"$225,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1217049
STRANGE LOOP GAMES INC.,STRANGE LOOP GAMES INC.,05/01/2017,11/01/2017,"$149,952.00",Phase I,SBIR,edIES17R0005,https://legacy.www.sbir.gov/sbirsearch/detail/1424847
STRANGE LOOP GAMES INC.,STRANGE LOOP GAMES INC.,05/01/2015,04/28/2017,"$899,871.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/890765
STRANGE LOOP GAMES INC.,STRANGE LOOP GAMES INC.,07/01/2014,12/31/2014,"$149,833.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/699396
