Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"Alessa Therapeutics, Inc.","Alessa Therapeutics, Inc.",08/01/2023,07/31/2024,"$405,681.00",Phase I,SBIR,PA22-176,https://legacy.www.sbir.gov/sbirsearch/detail/2511553
"Alessa Therapeutics, Inc.","Alessa Therapeutics, Inc.",08/04/2021,07/31/2022,"$393,713.00",Phase I,SBIR,PA20-260,https://legacy.www.sbir.gov/sbirsearch/detail/2189023
AMISSA INC,AMISSA INC,09/01/2021,08/31/2022,"$495,787.00",Phase I,SBIR,PAS19-316,https://legacy.www.sbir.gov/sbirsearch/detail/2191699
"BOSSA NOVA TECHNOLOGIES, LLC","BOSSA NOVA TECHNOLOGIES, LLC",06/22/2022,06/28/2024,"$1,616,880.00",Phase II,SBIR,13.2,https://legacy.www.sbir.gov/sbirsearch/detail/2238513
"BOSSA NOVA TECHNOLOGIES, LLC","BOSSA NOVA TECHNOLOGIES, LLC",04/24/2020,02/15/2024,"$1,797,194.00",Phase II,SBIR,19.3,https://legacy.www.sbir.gov/sbirsearch/detail/1928483
"BOSSA NOVA TECHNOLOGIES, LLC","BOSSA NOVA TECHNOLOGIES, LLC",07/11/2016,05/10/2017,"$79,703.00",Phase I,SBIR,2016.1,https://legacy.www.sbir.gov/sbirsearch/detail/1264399
"BOSSA NOVA TECHNOLOGIES, LLC","BOSSA NOVA TECHNOLOGIES, LLC",N/A,N/A,"$498,184.00",Phase II,SBIR,NSF 08-548,https://legacy.www.sbir.gov/sbirsearch/detail/2539
"BOSSA NOVA TECHNOLOGIES, LLC","BOSSA NOVA TECHNOLOGIES, LLC",N/A,N/A,"$100,000.00",Phase I,SBIR,NSF 08-548,https://legacy.www.sbir.gov/sbirsearch/detail/112920
"BOSSA NOVA TECHNOLOGIES, LLC","BOSSA NOVA TECHNOLOGIES, LLC",06/25/2008,06/24/2010,"$599,916.00",Phase II,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/112910
"BOSSA NOVA TECHNOLOGIES, LLC","BOSSA NOVA TECHNOLOGIES, LLC",N/A,N/A,"$149,231.00",Phase I,STTR,NSF 07-551,https://legacy.www.sbir.gov/sbirsearch/detail/112918
