Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
CIRCUMPLEX COMPANY,CIRCUMPLEX COMPANY,N/A,N/A,"$99,941.00",Phase I,SBIR,PHS2004-2,https://legacy.www.sbir.gov/sbirsearch/detail/126154
CIRCUMPLEX COMPANY,CIRCUMPLEX COMPANY,N/A,N/A,$0.00,Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/126150
CIRCUMPLEX COMPANY,CIRCUMPLEX COMPANY,N/A,N/A,"$305,074.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/126152
CIRCUMPLEX COMPANY,CIRCUMPLEX COMPANY,N/A,N/A,$0.00,Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/126146
CIRCUMPLEX COMPANY,CIRCUMPLEX COMPANY,N/A,N/A,"$444,397.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/126148
Complex Carbohydrate Corp,Complex Carbohydrate Corp,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/130494
"Complex Computation, LLC","Complex Computation, LLC",04/09/2018,02/08/2019,"$150,000.00",Phase I,SBIR,DE-FOA-0001770,https://legacy.www.sbir.gov/sbirsearch/detail/1505027
"Complex Computation, LLC","Complex Computation, LLC",12/22/2016,07/04/2017,"$99,969.27",Phase I,SBIR,2016.2,https://legacy.www.sbir.gov/sbirsearch/detail/1466893
"Complex Computation, LLC","Complex Computation, LLC",09/30/2015,06/30/2016,"$149,999.00",Phase I,SBIR,2015.2,https://legacy.www.sbir.gov/sbirsearch/detail/872249
Complex Systems Research Inc,Complex Systems Research Inc,N/A,N/A,"$52,902.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/130498
Complex Systems Research Inc,Complex Systems Research Inc,N/A,N/A,"$50,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/130500
IMMUNE COMPLEX CORPORATION,IMMUNE COMPLEX CORPORATION,N/A,N/A,$0.00,Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/188308
IMMUNE COMPLEX CORPORATION,IMMUNE COMPLEX CORPORATION,N/A,N/A,"$591,768.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/188310
IMMUNE COMPLEX CORPORATION,IMMUNE COMPLEX CORPORATION,N/A,N/A,"$100,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/188312
